step,walltime,_timestamp,train/opt/param_count
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,11464422.0
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,11464422.0
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,11464422.0
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,11464422.0
21408,2025-05-19 14:21:22.528584956,1747664482.528585,11464422.0
24928,2025-05-19 14:23:21.808706999,1747664601.808707,11464422.0
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,11464422.0
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,11464422.0
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,11464422.0
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,11464422.0
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,11464422.0
46048,2025-05-19 14:35:24.900423050,1747665324.900423,11464422.0
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,11464422.0
53024,2025-05-19 14:39:26.302659988,1747665566.30266,11464422.0
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,11464422.0
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,11464422.0
63616,2025-05-19 14:45:27.449976921,1747665927.449977,11464422.0
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,11464422.0
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,11464422.0
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,11464422.0
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,11464422.0
81184,2025-05-19 14:55:33.495652914,1747666533.495653,11464422.0
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,11464422.0
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,11464422.0
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,11464422.0
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,11464422.0
98752,2025-05-19 15:05:35.956784010,1747667135.956784,11464422.0
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,11464422.0
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,11464422.0
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,11464422.0
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,11464422.0
116224,2025-05-19 15:15:35.537846088,1747667735.537846,11464422.0
119776,2025-05-19 15:17:37.521825075,1747667857.521825,11464422.0
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,11464422.0
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,11464422.0
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,11464422.0
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,11464422.0
137344,2025-05-19 15:27:40.796781063,1747668460.796781,11464422.0
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,11464422.0
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,11464422.0
147840,2025-05-19 15:33:41.403523922,1747668821.403524,11464422.0
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,11464422.0
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,11464422.0
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,11464422.0
161984,2025-05-19 15:41:47.782854080,1747669307.782854,11464422.0
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,11464422.0
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,11464422.0
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,11464422.0
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,11464422.0
