step,walltime,_timestamp,train/ret
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,0.18762840132571063
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,0.7698072872988813
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,0.9032528186972076
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,0.809298184221593
21408,2025-05-19 14:21:22.528584956,1747664482.528585,0.8339335921185987
24928,2025-05-19 14:23:21.808706999,1747664601.808707,0.7873028722676364
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,0.748267501189902
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,0.7398763171312484
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,0.7169439429586584
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,0.701652776311945
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,0.7220864748412913
46048,2025-05-19 14:35:24.900423050,1747665324.900423,0.6731217003486178
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,0.7297867102934433
53024,2025-05-19 14:39:26.302659988,1747665566.30266,0.664367579132597
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,0.7090862973169847
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,0.6721770965917544
63616,2025-05-19 14:45:27.449976921,1747665927.449977,0.6837571203574404
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,0.707369496827727
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,0.6916194895528397
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,0.6557313774687212
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,0.6822525218129158
81184,2025-05-19 14:55:33.495652914,1747666533.495653,0.6940057989847552
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,0.6892952096657218
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,0.663580377840183
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,0.6874508226776982
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,0.6700338037176565
98752,2025-05-19 15:05:35.956784010,1747667135.956784,0.661906633761015
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,0.6415373171783156
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,0.645427760922096
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,0.6503051586110483
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,0.6346719969063997
116224,2025-05-19 15:15:35.537846088,1747667735.537846,0.6315028381844362
119776,2025-05-19 15:17:37.521825075,1747667857.521825,0.631737896853739
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,0.6340789786793969
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,0.6360523197296504
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,0.6236513259397312
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,0.6368661964381183
137344,2025-05-19 15:27:40.796781063,1747668460.796781,0.6453812704506245
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,0.641657316820188
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,0.6395643446426671
147840,2025-05-19 15:33:41.403523922,1747668821.403524,0.6368475999230536
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,0.6406221083692603
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,0.6340690664611421
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,0.6404241234741428
161984,2025-05-19 15:41:47.782854080,1747669307.782854,0.6392868279733441
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,0.640703004967665
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,0.636640628111792
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,0.6469542977173586
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,0.6482907965300827
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,0.6357594997630464
182976,2025-05-19 15:53:46.559751987,1747670026.559752,0.6398243444893404
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,0.6457475127803313
190080,2025-05-19 15:57:49.351510048,1747670269.35151,0.6444936685331233
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,0.6537994994358582
197056,2025-05-19 16:01:50.712171078,1747670510.712171,0.6513959603660084
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,0.6499712929129601
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,0.6477926601362121
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,0.6488733129525507
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,0.6436694080179388
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,0.6477691673229788
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,0.6578905108638785
221696,2025-05-19 16:15:52.531279802,1747671352.5312798,0.6574502141961643
225248,2025-05-19 16:17:57.814453363,1747671477.8144534,0.6587916777410485
228672,2025-05-19 16:19:53.873765945,1747671593.873766,0.6560876960300397
232224,2025-05-19 16:21:55.888797998,1747671715.888798,0.6588657698384276
235744,2025-05-19 16:23:55.148148060,1747671835.148148,0.6555074980990453
239296,2025-05-19 16:25:55.525610209,1747671955.5256102,0.6425299892822901
242848,2025-05-19 16:28:01.871626377,1747672081.8716264,0.6446355037928164
246240,2025-05-19 16:29:56.853270054,1747672196.85327,0.6489342214926234
249792,2025-05-19 16:31:58.693293095,1747672318.693293,0.6581350761289532
253312,2025-05-19 16:33:57.976869822,1747672437.9768698,0.6586610458791256
256864,2025-05-19 16:36:01.995666742,1747672561.9956667,0.6619581323419068
260320,2025-05-19 16:38:00.502874374,1747672680.5028744,0.6631924419284418
263840,2025-05-19 16:39:59.766632080,1747672799.766632,0.6577721361070872
