step,walltime,_timestamp,train/ret_min
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,0.07865301532484494
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,0.2978265086348328
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,-0.023702381815559143
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,-0.1375644743988249
21408,2025-05-19 14:21:22.528584956,1747664482.528585,-0.2701841167434867
24928,2025-05-19 14:23:21.808706999,1747664601.808707,-0.2465750836433885
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,-0.23612905714840093
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,-0.21542464889057555
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,-0.26497482449307097
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,-0.344973306722413
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,-0.23227752570316873
46048,2025-05-19 14:35:24.900423050,1747665324.900423,-0.3965754609110321
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,-0.2598906096410812
53024,2025-05-19 14:39:26.302659988,1747665566.30266,-0.43244243572492186
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,-0.3079160078259354
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,-0.4668828113851222
63616,2025-05-19 14:45:27.449976921,1747665927.449977,-0.4148309061656127
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,-0.5149285594286682
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,-0.5917744154532282
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,-0.5765379111676872
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,-0.47532001225785775
81184,2025-05-19 14:55:33.495652914,1747666533.495653,-0.4999856535882295
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,-0.5084192654831665
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,-0.4997099482031031
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,-0.4358097538016401
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,-0.49234271790324285
98752,2025-05-19 15:05:35.956784010,1747667135.956784,-0.540030190284859
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,-0.5670697997772584
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,-0.537999067303132
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,-0.5324607600881295
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,-0.5563402334736152
116224,2025-05-19 15:15:35.537846088,1747667735.537846,-0.5465092474801673
119776,2025-05-19 15:17:37.521825075,1747667857.521825,-0.581733665924083
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,-0.6099308060482145
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,-0.6489035208617244
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,-0.595349590903656
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,-0.549771616321609
137344,2025-05-19 15:27:40.796781063,1747668460.796781,-0.5590671681544997
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,-0.581816205619411
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,-0.6032865566646194
147840,2025-05-19 15:33:41.403523922,1747668821.403524,-0.6265878070006582
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,-0.6357240511800859
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,-0.627434019536317
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,-0.6052570945159955
161984,2025-05-19 15:41:47.782854080,1747669307.782854,-0.6191238575022329
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,-0.6042062804172529
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,-0.6141770514114214
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,-0.6669932609877071
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,-0.6618239900456109
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,-0.6390735803188773
182976,2025-05-19 15:53:46.559751987,1747670026.559752,-0.6438423857510647
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,-0.6050029347675878
190080,2025-05-19 15:57:49.351510048,1747670269.35151,-0.597316456287428
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,-0.6108513827012344
197056,2025-05-19 16:01:50.712171078,1747670510.712171,-0.5824576496422567
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,-0.5808336938985369
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,-0.5855356523985261
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,-0.6075372541877063
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,-0.5972490236840465
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,-0.590309772066006
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,-0.5828542189841921
