step,walltime,_timestamp,train/rep_ent
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,64.70787122157904
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,42.27907515001726
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,35.85267075547227
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,33.59909710928658
21408,2025-05-19 14:21:22.528584956,1747664482.528585,32.44186452803788
24928,2025-05-19 14:23:21.808706999,1747664601.808707,31.729574112458664
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,31.38568199862231
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,31.0871831482107
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,30.883699492974714
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,30.821580471815885
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,30.801361775398256
46048,2025-05-19 14:35:24.900423050,1747665324.900423,30.821639982429712
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,30.923508646251918
53024,2025-05-19 14:39:26.302659988,1747665566.30266,30.989450697586914
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,31.12304940440438
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,31.243533676320855
63616,2025-05-19 14:45:27.449976921,1747665927.449977,31.364498984706294
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,31.477442996995944
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,31.60333217314954
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,31.67682679923805
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,31.85790873440829
81184,2025-05-19 14:55:33.495652914,1747666533.495653,31.980199620530414
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,32.09467848661904
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,32.27032642364502
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,32.41919179220457
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,32.53421891169115
98752,2025-05-19 15:05:35.956784010,1747667135.956784,32.63008446736379
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,32.71767971692262
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,32.876767830415204
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,32.95589307221499
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,33.064456447688016
116224,2025-05-19 15:15:35.537846088,1747667735.537846,33.205058616620526
119776,2025-05-19 15:17:37.521825075,1747667857.521825,33.35466671419573
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,33.54546199278398
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,33.67032829705659
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,33.77608287551186
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,33.9397442429154
137344,2025-05-19 15:27:40.796781063,1747668460.796781,34.085024352507155
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,34.193963302265516
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,34.3642576277793
147840,2025-05-19 15:33:41.403523922,1747668821.403524,34.43768402349169
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,34.59606949058739
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,34.71413855080132
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,34.866783345829354
161984,2025-05-19 15:41:47.782854080,1747669307.782854,35.002053798328745
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,35.148174294801514
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,35.16853958851582
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,35.37846789488921
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,35.46050533679647
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,35.53895455008155
182976,2025-05-19 15:53:46.559751987,1747670026.559752,35.66810795079882
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,35.770041470055105
190080,2025-05-19 15:57:49.351510048,1747670269.35151,35.85135557415249
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,36.03290964039889
197056,2025-05-19 16:01:50.712171078,1747670510.712171,36.164942299878156
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,36.25732969804243
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,36.32053840052974
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,36.48957032126349
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,36.55765755826776
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,36.68534827455182
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,36.79212956862016
221696,2025-05-19 16:15:52.531279802,1747671352.5312798,36.8316944311331
225248,2025-05-19 16:17:57.814453363,1747671477.8144534,36.94672919608451
228672,2025-05-19 16:19:53.873765945,1747671593.873766,37.061155626706984
232224,2025-05-19 16:21:55.888797998,1747671715.888798,37.230561509862675
235744,2025-05-19 16:23:55.148148060,1747671835.148148,37.239667589014225
239296,2025-05-19 16:25:55.525610209,1747671955.5256102,37.32083644093694
242848,2025-05-19 16:28:01.871626377,1747672081.8716264,37.464209500733794
246240,2025-05-19 16:29:56.853270054,1747672196.85327,37.517278797221636
249792,2025-05-19 16:31:58.693293095,1747672318.693293,37.60731229266605
253312,2025-05-19 16:33:57.976869822,1747672437.9768698,37.651432410153475
256864,2025-05-19 16:36:01.995666742,1747672561.9956667,37.76838512678404
260320,2025-05-19 16:38:00.502874374,1747672680.5028744,37.827318341643725
263840,2025-05-19 16:39:59.766632080,1747672799.766632,37.90347905592485
267360,2025-05-19 16:42:01.122768402,1747672921.1227684,37.97536013776606
