step,walltime,_timestamp,train/opt/grad_norm
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,5300003250.391369
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,138.10283722748628
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,146.3401203069601
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,162.81850242614746
21408,2025-05-19 14:21:22.528584956,1747664482.528585,167.144903977712
24928,2025-05-19 14:23:21.808706999,1747664601.808707,171.39639211134477
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,165.0900057629422
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,170.70857332403008
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,176.41292683861474
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,173.4094755826173
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,174.98428036082873
46048,2025-05-19 14:35:24.900423050,1747665324.900423,173.8588804554295
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,173.68731499577427
53024,2025-05-19 14:39:26.302659988,1747665566.30266,173.32731925215677
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,175.02615386789495
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,169.60070300535722
63616,2025-05-19 14:45:27.449976921,1747665927.449977,166.62162093428879
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,171.19998061549555
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,162.90287968797503
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,162.52440525604797
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,157.67029801282015
81184,2025-05-19 14:55:33.495652914,1747666533.495653,159.25732347127553
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,158.025547936698
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,156.19943305795843
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,155.8288489161311
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,152.61190419630572
98752,2025-05-19 15:05:35.956784010,1747667135.956784,155.66146257761363
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,152.43209002636098
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,148.9323649666526
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,150.11459222273393
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,148.81240567294034
116224,2025-05-19 15:15:35.537846088,1747667735.537846,151.4440659681956
119776,2025-05-19 15:17:37.521825075,1747667857.521825,144.96637742154232
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,146.91563268141314
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,141.6200012516331
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,145.97091784910722
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,150.93285961504336
137344,2025-05-19 15:27:40.796781063,1747668460.796781,146.00766918875954
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,141.22432662790473
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,139.94720744227504
147840,2025-05-19 15:33:41.403523922,1747668821.403524,143.703478091231
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,138.97741731007895
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,135.48288091023764
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,134.76356759504839
161984,2025-05-19 15:41:47.782854080,1747669307.782854,136.2998495015231
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,134.19352052813377
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,134.02706259650154
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,128.03609877234106
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,131.91359907552737
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,135.16938682934185
182976,2025-05-19 15:53:46.559751987,1747670026.559752,128.5068681663442
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,127.97467333991248
190080,2025-05-19 15:57:49.351510048,1747670269.35151,125.98891550356204
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,125.99960473667491
197056,2025-05-19 16:01:50.712171078,1747670510.712171,125.98225443451493
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,122.28344850540161
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,123.20935919478133
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,121.11656220753987
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,125.60081962238658
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,121.10131167474194
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,120.26608037081631
221696,2025-05-19 16:15:52.531279802,1747671352.5312798,119.20162254196029
225248,2025-05-19 16:17:57.814453363,1747671477.8144534,118.3956509409724
228672,2025-05-19 16:19:53.873765945,1747671593.873766,120.42434830531896
232224,2025-05-19 16:21:55.888797998,1747671715.888798,116.87520030597308
235744,2025-05-19 16:23:55.148148060,1747671835.148148,114.84045485583219
239296,2025-05-19 16:25:55.525610209,1747671955.5256102,115.62709708686347
242848,2025-05-19 16:28:01.871626377,1747672081.8716264,114.56577554479375
246240,2025-05-19 16:29:56.853270054,1747672196.85327,115.24702097334952
249792,2025-05-19 16:31:58.693293095,1747672318.693293,112.60738595326741
253312,2025-05-19 16:33:57.976869822,1747672437.9768698,114.07533490441062
256864,2025-05-19 16:36:01.995666742,1747672561.9956667,130.36191881884326
260320,2025-05-19 16:38:00.502874374,1747672680.5028744,130.93515465877675
263840,2025-05-19 16:39:59.766632080,1747672799.766632,114.97525702389804
267360,2025-05-19 16:42:01.122768402,1747672921.1227684,110.28030557632447
270880,2025-05-19 16:44:00.384345055,1747673040.384345,107.35117827328769
274432,2025-05-19 16:46:04.263636588,1747673164.2636366,108.73530736699834
277888,2025-05-19 16:48:02.763467789,1747673282.7634678,111.27997667701156
281408,2025-05-19 16:50:02.047858715,1747673402.0478587,107.34289719841696
284960,2025-05-19 16:52:04.096445322,1747673524.0964453,105.30619466626966
288480,2025-05-19 16:54:03.350425482,1747673643.3504255,105.17225910533558
292032,2025-05-19 16:56:07.289979696,1747673767.2899797,105.19265280543146
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,106.04050343058934
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,102.50143940665505
302528,2025-05-19 17:02:06.410092115,1747674126.410092,102.59756068496017
306048,2025-05-19 17:04:09.200087786,1747674249.2000878,103.94887913790616
309504,2025-05-19 17:06:06.319726944,1747674366.319727,104.74888443063807
313056,2025-05-19 17:08:08.077250481,1747674488.0772505,102.62931065946012
316576,2025-05-19 17:10:07.358102560,1747674607.3581026,101.51427808241411
320128,2025-05-19 17:12:09.690521717,1747674729.6905217,100.81645705248859
323648,2025-05-19 17:14:12.459861517,1747674852.4598615,99.04316153092817
327104,2025-05-19 17:16:09.551645041,1747674969.551645,137.72108611354122
330656,2025-05-19 17:18:11.330963850,1747675091.3309639,101.40403178790667
334176,2025-05-19 17:20:10.592103243,1747675210.5921032,97.30799860520797
337728,2025-05-19 17:22:16.142609119,1747675336.1426091,99.18550377063923
341152,2025-05-19 17:24:12.267472029,1747675452.267472,98.253745738591
344704,2025-05-19 17:26:12.752267361,1747675572.7522674,97.6855564890681
348224,2025-05-19 17:28:14.091207743,1747675694.0912077,96.84177819165316
351744,2025-05-19 17:30:13.436766386,1747675813.4367664,99.56347513198853
355296,2025-05-19 17:32:18.734192371,1747675938.7341924,97.2004855731586
358720,2025-05-19 17:34:14.732593298,1747676054.7325933,96.04527683792827
362272,2025-05-19 17:36:15.103837729,1747676175.1038377,96.24975105663678
365824,2025-05-19 17:38:16.821981192,1747676296.8219812,93.85999399477298
369344,2025-05-19 17:40:19.597247839,1747676419.5972478,95.54888521541248
372768,2025-05-19 17:42:17.485610008,1747676537.48561,105.11315484804528
376288,2025-05-19 17:44:16.778774738,1747676656.7787747,94.31169495149092
379840,2025-05-19 17:46:17.218710423,1747676777.2187104,93.2707695746207
383392,2025-05-19 17:48:18.946798801,1747676898.9467988,96.32686919135017
386912,2025-05-19 17:50:21.725440741,1747677021.7254407,95.58295151970603
390368,2025-05-19 17:52:20.159259319,1747677140.1592593,95.199456470984
393888,2025-05-19 17:54:19.630604744,1747677259.6306047,97.06729011535644
397440,2025-05-19 17:56:20.014700890,1747677380.014701,92.01257396388698
400992,2025-05-19 17:58:25.774995804,1747677505.7749958,91.81566432574847
404416,2025-05-19 18:00:21.915855408,1747677621.9158554,93.95667346170015
407968,2025-05-19 18:02:23.547632456,1747677743.5476325,91.65642526987436
411488,2025-05-19 18:04:22.756731033,1747677862.756731,90.81302289095792
415040,2025-05-19 18:06:23.091437578,1747677983.0914376,90.23011174932256
418592,2025-05-19 18:08:28.063162088,1747678108.063162,91.86847535554354
422016,2025-05-19 18:10:24.031040907,1747678224.031041,94.40932016283553
425568,2025-05-19 18:12:26.214601040,1747678346.214601,91.6511850958472
429088,2025-05-19 18:14:25.431440353,1747678465.4314404,89.07280509255149
432640,2025-05-19 18:16:25.775581121,1747678585.7755811,88.40352290385478
436192,2025-05-19 18:18:30.750889778,1747678710.7508898,90.72331340892895
439616,2025-05-19 18:20:26.716792583,1747678826.7167926,92.70856998122741
443168,2025-05-19 18:22:28.293231010,1747678948.293231,91.10090753194449
446688,2025-05-19 18:24:27.508926868,1747679067.5089269,88.29667408683083
450240,2025-05-19 18:26:32.619707346,1747679192.6197073,88.41569681425352
453664,2025-05-19 18:28:29.870342970,1747679309.870343,101.75832716326848
457184,2025-05-19 18:30:29.126795052,1747679429.126795,90.51887452385643
460736,2025-05-19 18:32:30.731026173,1747679550.7310262,87.48514206345017
464256,2025-05-19 18:34:29.934651613,1747679669.9346516,104.84985269199719
467808,2025-05-19 18:36:33.693484068,1747679793.693484,88.97032908705978
471264,2025-05-19 18:38:31.981508493,1747679911.9815085,91.46722321157102
474784,2025-05-19 18:40:31.269820929,1747680031.269821,89.12466457973827
478336,2025-05-19 18:42:33.376602173,1747680153.3766022,87.40136439521034
481856,2025-05-19 18:44:36.018835545,1747680276.0188355,86.6346643968062
485312,2025-05-19 18:46:33.098924637,1747680393.0989246,96.8837258639159
488864,2025-05-19 18:48:34.671777010,1747680514.671777,87.84525293058103
492384,2025-05-19 18:50:33.908812523,1747680633.9088125,87.9216100432656
495936,2025-05-19 18:52:35.494518280,1747680755.4945183,86.02129316759539
499456,2025-05-19 18:54:38.140048027,1747680878.140048,87.64931514479898
