step,walltime,_timestamp,train/slowval
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,0.1710329128195589
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,2.6604029583232895
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,8.897011014255318
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,18.0606392209775
21408,2025-05-19 14:21:22.528584956,1747664482.528585,27.76406423913108
24928,2025-05-19 14:23:21.808706999,1747664601.808707,37.051774115995926
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,46.106008323463236
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,54.1267105882818
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,60.78344167796048
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,67.74583794452526
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,74.44272714094681
46048,2025-05-19 14:35:24.900423050,1747665324.900423,80.77590393375706
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,88.34628542479093
53024,2025-05-19 14:39:26.302659988,1747665566.30266,94.68413230860345
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,102.3955493146723
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,109.53281046260487
63616,2025-05-19 14:45:27.449976921,1747665927.449977,114.70965831344192
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,121.20296561610591
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,126.97078685040744
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,130.10248749535364
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,134.08678665161133
81184,2025-05-19 14:55:33.495652914,1747666533.495653,139.98246770291715
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,147.0445728123745
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,152.62649217085405
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,160.3157549162169
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,168.1296113274314
98752,2025-05-19 15:05:35.956784010,1747667135.956784,173.918589566205
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,177.57721226303667
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,181.8641139463945
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,186.82250106117942
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,191.4955136385831
116224,2025-05-19 15:15:35.537846088,1747667735.537846,195.86393216804223
119776,2025-05-19 15:17:37.521825075,1747667857.521825,200.18180264653387
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,204.07755244861949
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,206.3711401106001
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,208.10764709819446
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,210.92419287010475
137344,2025-05-19 15:27:40.796781063,1747668460.796781,214.54983872500333
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,218.0035829370672
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,221.25437478761415
147840,2025-05-19 15:33:41.403523922,1747668821.403524,224.6049408778966
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,227.77810998865075
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,230.1265675312764
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,232.43911637392912
161984,2025-05-19 15:41:47.782854080,1747669307.782854,235.07467653101142
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,237.67523355573138
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,239.7356060818509
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,241.2707457327628
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,242.0825379397891
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,243.0213497952298
182976,2025-05-19 15:53:46.559751987,1747670026.559752,244.42454117035197
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,246.6273336496439
190080,2025-05-19 15:57:49.351510048,1747670269.35151,249.49431527627482
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,252.39002075195313
197056,2025-05-19 16:01:50.712171078,1747670510.712171,255.29992230733237
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,258.6082362955267
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,262.0378310057494
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,265.444515846871
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,268.4831220800226
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,271.2803661667298
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,274.54638307744807
221696,2025-05-19 16:15:52.531279802,1747671352.5312798,277.76066579045477
225248,2025-05-19 16:17:57.814453363,1747671477.8144534,280.7383718061018
228672,2025-05-19 16:19:53.873765945,1747671593.873766,282.4340708723692
232224,2025-05-19 16:21:55.888797998,1747671715.888798,282.904906504863
235744,2025-05-19 16:23:55.148148060,1747671835.148148,283.193022294478
239296,2025-05-19 16:25:55.525610209,1747671955.5256102,284.334080189198
242848,2025-05-19 16:28:01.871626377,1747672081.8716264,285.95856757636545
246240,2025-05-19 16:29:56.853270054,1747672196.85327,287.26216539346945
249792,2025-05-19 16:31:58.693293095,1747672318.693293,289.45507595990154
253312,2025-05-19 16:33:57.976869822,1747672437.9768698,291.24175106395376
256864,2025-05-19 16:36:01.995666742,1747672561.9956667,293.5221136282156
260320,2025-05-19 16:38:00.502874374,1747672680.5028744,295.6507722360116
263840,2025-05-19 16:39:59.766632080,1747672799.766632,297.3757954684171
267360,2025-05-19 16:42:01.122768402,1747672921.1227684,299.37100320295855
