step,walltime,_timestamp,train/opt/updates
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,72412.5
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,73280.5
302528,2025-05-19 17:02:06.410092115,1747674126.410092,74164.5
306048,2025-05-19 17:04:09.200087786,1747674249.2000878,75048.5
309504,2025-05-19 17:06:06.319726944,1747674366.319727,75920.5
313056,2025-05-19 17:08:08.077250481,1747674488.0772505,76796.5
316576,2025-05-19 17:10:07.358102560,1747674607.3581026,77680.5
320128,2025-05-19 17:12:09.690521717,1747674729.6905217,78564.5
323648,2025-05-19 17:14:12.459861517,1747674852.4598615,79448.5
327104,2025-05-19 17:16:09.551645041,1747674969.551645,80320.5
330656,2025-05-19 17:18:11.330963850,1747675091.3309639,81196.5
334176,2025-05-19 17:20:10.592103243,1747675210.5921032,82080.5
337728,2025-05-19 17:22:16.142609119,1747675336.1426091,82964.5
341152,2025-05-19 17:24:12.267472029,1747675452.267472,83836.5
344704,2025-05-19 17:26:12.752267361,1747675572.7522674,84708.5
348224,2025-05-19 17:28:14.091207743,1747675694.0912077,85592.5
351744,2025-05-19 17:30:13.436766386,1747675813.4367664,86472.5
355296,2025-05-19 17:32:18.734192371,1747675938.7341924,87356.5
358720,2025-05-19 17:34:14.732593298,1747676054.7325933,88228.5
362272,2025-05-19 17:36:15.103837729,1747676175.1038377,89100.5
365824,2025-05-19 17:38:16.821981192,1747676296.8219812,89988.5
369344,2025-05-19 17:40:19.597247839,1747676419.5972478,90872.5
372768,2025-05-19 17:42:17.485610008,1747676537.48561,91740.5
376288,2025-05-19 17:44:16.778774738,1747676656.7787747,92608.5
379840,2025-05-19 17:46:17.218710423,1747676777.2187104,93492.5
383392,2025-05-19 17:48:18.946798801,1747676898.9467988,94380.5
386912,2025-05-19 17:50:21.725440741,1747677021.7254407,95264.5
390368,2025-05-19 17:52:20.159259319,1747677140.1592593,96136.5
393888,2025-05-19 17:54:19.630604744,1747677259.6306047,97008.5
397440,2025-05-19 17:56:20.014700890,1747677380.014701,97892.5
400992,2025-05-19 17:58:25.774995804,1747677505.7749958,98780.5
404416,2025-05-19 18:00:21.915855408,1747677621.9158554,99652.5
407968,2025-05-19 18:02:23.547632456,1747677743.5476325,100524.5
411488,2025-05-19 18:04:22.756731033,1747677862.756731,101408.5
