step,walltime,_timestamp,train/loss/velocity
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,6.952302685150733
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,3.980815299459406
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,2.6430870509362436
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,2.156433587876436
21408,2025-05-19 14:21:22.528584956,1747664482.528585,1.9583991734241997
24928,2025-05-19 14:23:21.808706999,1747664601.808707,1.7829410963437773
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,1.5521940917850614
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,1.4731952275742184
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,1.4111616131934253
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,1.354666610903762
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,1.3297497395764697
46048,2025-05-19 14:35:24.900423050,1747665324.900423,1.296070616927233
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,1.2971106534739871
53024,2025-05-19 14:39:26.302659988,1747665566.30266,1.287883081865088
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,1.2444420941851355
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,1.2231150511990894
63616,2025-05-19 14:45:27.449976921,1747665927.449977,1.1953958921335839
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,1.1867885737939998
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,1.1585368156995413
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,1.1401294802760218
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,1.0996846561404792
81184,2025-05-19 14:55:33.495652914,1747666533.495653,1.0841691100651079
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,1.0812742912741464
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,1.0602247870781205
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,1.0615092911296062
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,1.0381251694126563
98752,2025-05-19 15:05:35.956784010,1747667135.956784,1.03041460365057
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,1.0310711596437074
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,1.0092501030726866
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,0.9961887161840092
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,0.9652890382165259
116224,2025-05-19 15:15:35.537846088,1747667735.537846,0.9740531451448247
119776,2025-05-19 15:17:37.521825075,1747667857.521825,0.9464281383935396
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,0.925091595405882
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,0.8951854807836516
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,0.8887189430269328
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,0.8997997286970969
137344,2025-05-19 15:27:40.796781063,1747668460.796781,0.8856104415248741
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,0.8587094793265516
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,0.8384315843383471
147840,2025-05-19 15:33:41.403523922,1747668821.403524,0.8373523543928271
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,0.832927018404007
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,0.8215655094465694
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,0.8004442610523917
161984,2025-05-19 15:41:47.782854080,1747669307.782854,0.7923994981429794
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,0.7925326099323335
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,0.7799669170567581
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,0.7643742680818111
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,0.7566953154468755
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,0.7474120420378607
182976,2025-05-19 15:53:46.559751987,1747670026.559752,0.7429222801578379
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,0.7239048172895973
190080,2025-05-19 15:57:49.351510048,1747670269.35151,0.7114143893793896
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,0.6976252104071053
197056,2025-05-19 16:01:50.712171078,1747670510.712171,0.6983292267002441
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,0.6880320746790279
