step,walltime,_timestamp,train/dyn_ent
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,76.3061274931981
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,53.41349732768428
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,45.1392855773101
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,42.13484031463338
21408,2025-05-19 14:21:22.528584956,1747664482.528585,40.577543329309535
24928,2025-05-19 14:23:21.808706999,1747664601.808707,39.6856784213673
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,38.942403685939205
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,38.63560146851973
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,38.46751720255072
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,38.38086469526644
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,38.485884068228984
46048,2025-05-19 14:35:24.900423050,1747665324.900423,38.502558970236564
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,38.7344428010889
53024,2025-05-19 14:39:26.302659988,1747665566.30266,38.91288233694629
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,39.09219346046448
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,39.31700461994518
63616,2025-05-19 14:45:27.449976921,1747665927.449977,39.50981414210689
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,39.71106867747264
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,39.85044025924971
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,39.98905260498459
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,40.12728423205289
81184,2025-05-19 14:55:33.495652914,1747666533.495653,40.324378902847705
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,40.534845004571935
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,40.77494608272206
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,41.03362765612903
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,41.14946905482899
98752,2025-05-19 15:05:35.956784010,1747667135.956784,41.31464356345099
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,41.48188108426553
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,41.61572028506886
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,41.71050162748857
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,41.780737447738645
116224,2025-05-19 15:15:35.537846088,1747667735.537846,42.00030696392059
119776,2025-05-19 15:17:37.521825075,1747667857.521825,42.0747342797013
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,42.24063912304965
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,42.28467995841224
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,42.37928488471291
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,42.66153210622293
137344,2025-05-19 15:27:40.796781063,1747668460.796781,42.7681065602736
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,42.829638381437825
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,42.94506810592102
147840,2025-05-19 15:33:41.403523922,1747668821.403524,43.04562500926936
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,43.20388364362287
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,43.34793588707039
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,43.42049565748735
161984,2025-05-19 15:41:47.782854080,1747669307.782854,43.592289850928566
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,43.775334122024965
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,43.74206622871193
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,43.98963550619177
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,44.06838983570764
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,44.07454887166754
182976,2025-05-19 15:53:46.559751987,1747670026.559752,44.23571425732051
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,44.27644668183885
190080,2025-05-19 15:57:49.351510048,1747670269.35151,44.308545649588645
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,44.44161688197743
197056,2025-05-19 16:01:50.712171078,1747670510.712171,44.59426509892499
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,44.66150409958579
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,44.64126777219343
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,44.80239818762015
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,44.858555208552964
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,44.99027317261027
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,45.01337117281827
221696,2025-05-19 16:15:52.531279802,1747671352.5312798,45.05549747449858
225248,2025-05-19 16:17:57.814453363,1747671477.8144534,45.1803831882305
228672,2025-05-19 16:19:53.873765945,1747671593.873766,45.30746221988001
232224,2025-05-19 16:21:55.888797998,1747671715.888798,45.495210192225
235744,2025-05-19 16:23:55.148148060,1747671835.148148,45.41681498614224
239296,2025-05-19 16:25:55.525610209,1747671955.5256102,45.53341380110732
242848,2025-05-19 16:28:01.871626377,1747672081.8716264,45.643829345703125
246240,2025-05-19 16:29:56.853270054,1747672196.85327,45.669305553976095
249792,2025-05-19 16:31:58.693293095,1747672318.693293,45.76340477316229
253312,2025-05-19 16:33:57.976869822,1747672437.9768698,45.77718081907793
256864,2025-05-19 16:36:01.995666742,1747672561.9956667,45.90002695289818
260320,2025-05-19 16:38:00.502874374,1747672680.5028744,45.981168799930145
263840,2025-05-19 16:39:59.766632080,1747672799.766632,46.05020941387523
267360,2025-05-19 16:42:01.122768402,1747672921.1227684,46.150091262297195
270880,2025-05-19 16:44:00.384345055,1747673040.384345,46.08768981586803
274432,2025-05-19 16:46:04.263636588,1747673164.2636366,46.12243209873234
277888,2025-05-19 16:48:02.763467789,1747673282.7634678,46.27091370247029
281408,2025-05-19 16:50:02.047858715,1747673402.0478587,46.28921408219771
284960,2025-05-19 16:52:04.096445322,1747673524.0964453,46.300006857863416
288480,2025-05-19 16:54:03.350425482,1747673643.3504255,46.37566999522122
292032,2025-05-19 16:56:07.289979696,1747673767.2899797,46.4538419439986
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,46.60251262254804
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,46.56009507612749
302528,2025-05-19 17:02:06.410092115,1747674126.410092,46.574234017380725
306048,2025-05-19 17:04:09.200087786,1747674249.2000878,46.66554029638117
309504,2025-05-19 17:06:06.319726944,1747674366.319727,46.75562597204138
313056,2025-05-19 17:08:08.077250481,1747674488.0772505,46.737416237324204
316576,2025-05-19 17:10:07.358102560,1747674607.3581026,46.84686638225209
320128,2025-05-19 17:12:09.690521717,1747674729.6905217,46.93911722114494
323648,2025-05-19 17:14:12.459861517,1747674852.4598615,47.00082807540893
327104,2025-05-19 17:16:09.551645041,1747674969.551645,47.09417651759254
330656,2025-05-19 17:18:11.330963850,1747675091.3309639,47.14877899702605
334176,2025-05-19 17:20:10.592103243,1747675210.5921032,47.298585722663184
337728,2025-05-19 17:22:16.142609119,1747675336.1426091,47.298654118099726
341152,2025-05-19 17:24:12.267472029,1747675452.267472,47.43340112115735
344704,2025-05-19 17:26:12.752267361,1747675572.7522674,47.474518990731454
348224,2025-05-19 17:28:14.091207743,1747675694.0912077,47.49606831723993
351744,2025-05-19 17:30:13.436766386,1747675813.4367664,47.634269536625254
355296,2025-05-19 17:32:18.734192371,1747675938.7341924,47.647353829564274
358720,2025-05-19 17:34:14.732593298,1747676054.7325933,47.69035666902489
362272,2025-05-19 17:36:15.103837729,1747676175.1038377,47.81118277386502
365824,2025-05-19 17:38:16.821981192,1747676296.8219812,47.81582764462308
369344,2025-05-19 17:40:19.597247839,1747676419.5972478,47.89953186295249
372768,2025-05-19 17:42:17.485610008,1747676537.48561,47.93484959201278
376288,2025-05-19 17:44:16.778774738,1747676656.7787747,48.03086901578036
379840,2025-05-19 17:46:17.218710423,1747676777.2187104,48.07564714792613
383392,2025-05-19 17:48:18.946798801,1747676898.9467988,48.126430069004094
386912,2025-05-19 17:50:21.725440741,1747677021.7254407,48.18240985436873
390368,2025-05-19 17:52:20.159259319,1747677140.1592593,48.30631831398717
393888,2025-05-19 17:54:19.630604744,1747677259.6306047,48.29159487811002
397440,2025-05-19 17:56:20.014700890,1747677380.014701,48.355990306751146
400992,2025-05-19 17:58:25.774995804,1747677505.7749958,48.37550478582984
404416,2025-05-19 18:00:21.915855408,1747677621.9158554,48.43019262206889
407968,2025-05-19 18:02:23.547632456,1747677743.5476325,48.496757382745145
411488,2025-05-19 18:04:22.756731033,1747677862.756731,48.51321006254717
415040,2025-05-19 18:06:23.091437578,1747677983.0914376,48.61995121809813
418592,2025-05-19 18:08:28.063162088,1747678108.063162,48.65798281764125
422016,2025-05-19 18:10:24.031040907,1747678224.031041,48.77434554946757
425568,2025-05-19 18:12:26.214601040,1747678346.214601,48.80441602930292
429088,2025-05-19 18:14:25.431440353,1747678465.4314404,48.81783217083324
432640,2025-05-19 18:16:25.775581121,1747678585.7755811,48.844617091857636
436192,2025-05-19 18:18:30.750889778,1747678710.7508898,48.94373779468708
439616,2025-05-19 18:20:26.716792583,1747678826.7167926,49.05048507173485
443168,2025-05-19 18:22:28.293231010,1747678948.293231,49.05036185238812
446688,2025-05-19 18:24:27.508926868,1747679067.5089269,49.041020896218036
450240,2025-05-19 18:26:32.619707346,1747679192.6197073,49.15160073460759
453664,2025-05-19 18:28:29.870342970,1747679309.870343,49.187724113464355
457184,2025-05-19 18:30:29.126795052,1747679429.126795,49.21159147782759
460736,2025-05-19 18:32:30.731026173,1747679550.7310262,49.18686692349546
464256,2025-05-19 18:34:29.934651613,1747679669.9346516,49.3218758279627
467808,2025-05-19 18:36:33.693484068,1747679793.693484,49.31337947673626
471264,2025-05-19 18:38:31.981508493,1747679911.9815085,49.41426537655018
474784,2025-05-19 18:40:31.269820929,1747680031.269821,49.51565907651728
478336,2025-05-19 18:42:33.376602173,1747680153.3766022,49.46541386681634
481856,2025-05-19 18:44:36.018835545,1747680276.0188355,49.55026115937667
485312,2025-05-19 18:46:33.098924637,1747680393.0989246,49.5515585343043
488864,2025-05-19 18:48:34.671777010,1747680514.671777,49.67526092185631
492384,2025-05-19 18:50:33.908812523,1747680633.9088125,49.6460103598508
495936,2025-05-19 18:52:35.494518280,1747680755.4945183,49.60216809607841
499456,2025-05-19 18:54:38.140048027,1747680878.140048,49.62844041911038
