step,walltime,_timestamp,train/loss/repval
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,7.424361175642564
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,3.4609811448299133
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,2.1920908651910387
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,1.6743201703947281
21408,2025-05-19 14:21:22.528584956,1747664482.528585,1.3416277241927606
24928,2025-05-19 14:23:21.808706999,1747664601.808707,1.2619508931582624
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,1.1246562957226693
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,1.111791710623286
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,0.9696039946241812
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,1.057934245508578
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,1.090237412804907
46048,2025-05-19 14:35:24.900423050,1747665324.900423,0.9499401713947992
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,1.1290020120439228
53024,2025-05-19 14:39:26.302659988,1747665566.30266,0.9578470131643465
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,1.0953903478654947
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,1.0511613708328118
63616,2025-05-19 14:45:27.449976921,1747665927.449977,0.8409255332237965
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,1.186334948281984
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,1.158551600955005
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,0.9277052724280873
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,0.8086988945576278
81184,2025-05-19 14:55:33.495652914,1747666533.495653,1.0596514934220829
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,1.2179768163467122
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,0.9528392109003934
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,0.9101432104099978
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,1.2150531938130205
98752,2025-05-19 15:05:35.956784010,1747667135.956784,1.188486748383389
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,1.0099887046273108
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,0.8520495436408303
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,0.84546817954291
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,1.0028226486661218
116224,2025-05-19 15:15:35.537846088,1747667735.537846,1.1919223962834589
119776,2025-05-19 15:17:37.521825075,1747667857.521825,1.2551736767227586
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,1.1732036159797148
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,1.0658216230101414
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,0.9988453940234401
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,0.9136433378551845
137344,2025-05-19 15:27:40.796781063,1747668460.796781,0.8486092368987473
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,0.8486309640786864
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,0.9074282215253727
147840,2025-05-19 15:33:41.403523922,1747668821.403524,1.0138626581179762
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,1.1328967195507642
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,1.2008228518135913
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,1.236777473037893
161984,2025-05-19 15:41:47.782854080,1747669307.782854,1.2353259021585639
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,1.184091465495457
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,1.116050502134336
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,1.0383103459670737
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,0.9912612524327882
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,0.9451215488685144
182976,2025-05-19 15:53:46.559751987,1747670026.559752,0.9138296167148607
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,0.8981197238102689
190080,2025-05-19 15:57:49.351510048,1747670269.35151,0.8873023977419278
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,0.8796581191772764
197056,2025-05-19 16:01:50.712171078,1747670510.712171,0.8938441981595976
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,0.9401561240580949
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,1.0131851513240788
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,1.0998020574853227
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,1.1634812918576327
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,1.1991522310771674
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,1.2044544955546206
221696,2025-05-19 16:15:52.531279802,1747671352.5312798,1.164267851492843
225248,2025-05-19 16:17:57.814453363,1747671477.8144534,1.080253894331756
228672,2025-05-19 16:19:53.873765945,1747671593.873766,1.0126324965853557
232224,2025-05-19 16:21:55.888797998,1747671715.888798,0.9821716475191417
235744,2025-05-19 16:23:55.148148060,1747671835.148148,0.9677653648636558
239296,2025-05-19 16:25:55.525610209,1747671955.5256102,0.9247508026525244
242848,2025-05-19 16:28:01.871626377,1747672081.8716264,0.8756033720801005
246240,2025-05-19 16:29:56.853270054,1747672196.85327,0.8607892400391821
249792,2025-05-19 16:31:58.693293095,1747672318.693293,0.853472709722884
253312,2025-05-19 16:33:57.976869822,1747672437.9768698,0.8681708549234
256864,2025-05-19 16:36:01.995666742,1747672561.9956667,0.8842097999410586
260320,2025-05-19 16:38:00.502874374,1747672680.5028744,0.8947885600780999
263840,2025-05-19 16:39:59.766632080,1747672799.766632,0.9126585586504503
