step,walltime,_timestamp,train/adv_std
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,0.05835338749441772
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,0.2129400848906051
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,0.22817695656002643
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,0.1844605396318937
21408,2025-05-19 14:21:22.528584956,1747664482.528585,0.18914074469702663
24928,2025-05-19 14:23:21.808706999,1747664601.808707,0.17424344721842897
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,0.16225558578934487
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,0.15973460101945833
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,0.1553426220505075
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,0.15028517634642344
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,0.14343232104385442
46048,2025-05-19 14:35:24.900423050,1747665324.900423,0.14701824187225587
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,0.13594205972847637
53024,2025-05-19 14:39:26.302659988,1747665566.30266,0.14433113315847712
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,0.1365804793990471
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,0.13958939492533154
63616,2025-05-19 14:45:27.449976921,1747665927.449977,0.1451348677395029
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,0.14183806464378093
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,0.137303800972284
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,0.14038529017990506
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,0.13912398413839666
81184,2025-05-19 14:55:33.495652914,1747666533.495653,0.136501574276334
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,0.12821290632448742
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,0.1277456616305492
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,0.12495329171452704
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,0.12402743557468057
98752,2025-05-19 15:05:35.956784010,1747667135.956784,0.12429436577299426
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,0.1232860867899877
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,0.12410768014802175
