step,walltime,_timestamp,train/loss/height
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,0.021203311447886966
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,0.010027893478583612
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,0.007338602092171608
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,0.006032163312628204
21408,2025-05-19 14:21:22.528584956,1747664482.528585,0.005017387576420636
24928,2025-05-19 14:23:21.808706999,1747664601.808707,0.004067679587751627
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,0.0033019516409399942
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,0.0027343271824065594
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,0.0023921514588768
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,0.0020550145403561786
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,0.0018161034941757944
46048,2025-05-19 14:35:24.900423050,1747665324.900423,0.0016354185282326144
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,0.0015156219157795128
53024,2025-05-19 14:39:26.302659988,1747665566.30266,0.001481813887541104
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,0.0014083853109199977
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,0.0013473976736184507
63616,2025-05-19 14:45:27.449976921,1747665927.449977,0.0012852328611581863
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,0.0012669326759940894
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,0.0012413899691963244
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,0.001228191046663539
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,0.0011863156785362993
81184,2025-05-19 14:55:33.495652914,1747666533.495653,0.0011549754001264176
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,0.0011577183582273825
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,0.0011315572637117426
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,0.0011308978045981184
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,0.0010984222662624565
98752,2025-05-19 15:05:35.956784010,1747667135.956784,0.00109759430071446
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,0.0010914632129478614
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,0.0010676740115741269
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,0.0010643509343605149
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,0.0010509035373450553
116224,2025-05-19 15:15:35.537846088,1747667735.537846,0.001040034658015227
