step,walltime,_timestamp,train/ent/action
309504,2025-05-19 17:06:06.319726944,1747674366.319727,-5.065809557835261
313056,2025-05-19 17:08:08.077250481,1747674488.0772505,-5.057116792008683
316576,2025-05-19 17:10:07.358102560,1747674607.3581026,-5.0752771193330934
320128,2025-05-19 17:12:09.690521717,1747674729.6905217,-5.076670790040815
323648,2025-05-19 17:14:12.459861517,1747674852.4598615,-5.086815856261687
327104,2025-05-19 17:16:09.551645041,1747674969.551645,-5.080128616756863
330656,2025-05-19 17:18:11.330963850,1747675091.3309639,-5.075426635978459
334176,2025-05-19 17:20:10.592103243,1747675210.5921032,-5.103779072111303
337728,2025-05-19 17:22:16.142609119,1747675336.1426091,-5.099142516518499
341152,2025-05-19 17:24:12.267472029,1747675452.267472,-5.120443501205088
344704,2025-05-19 17:26:12.752267361,1747675572.7522674,-5.118273441318993
348224,2025-05-19 17:28:14.091207743,1747675694.0912077,-5.145967005057768
351744,2025-05-19 17:30:13.436766386,1747675813.4367664,-5.141147928888148
355296,2025-05-19 17:32:18.734192371,1747675938.7341924,-5.133558663162026
358720,2025-05-19 17:34:14.732593298,1747676054.7325933,-5.146807363100141
362272,2025-05-19 17:36:15.103837729,1747676175.1038377,-5.1369163216771305
365824,2025-05-19 17:38:16.821981192,1747676296.8219812,-5.150580027081945
369344,2025-05-19 17:40:19.597247839,1747676419.5972478,-5.152468078786677
372768,2025-05-19 17:42:17.485610008,1747676537.48561,-5.166828690845276
376288,2025-05-19 17:44:16.778774738,1747676656.7787747,-5.151863644881682
379840,2025-05-19 17:46:17.218710423,1747676777.2187104,-5.152432083546579
383392,2025-05-19 17:48:18.946798801,1747676898.9467988,-5.137133989785169
386912,2025-05-19 17:50:21.725440741,1747677021.7254407,-5.142067813331431
390368,2025-05-19 17:52:20.159259319,1747677140.1592593,-5.119865644309256
393888,2025-05-19 17:54:19.630604744,1747677259.6306047,-5.112522986802188
397440,2025-05-19 17:56:20.014700890,1747677380.014701,-5.095337322703353
400992,2025-05-19 17:58:25.774995804,1747677505.7749958,-5.069644417848673
404416,2025-05-19 18:00:21.915855408,1747677621.9158554,-5.049875920621034
407968,2025-05-19 18:02:23.547632456,1747677743.5476325,-4.996211744643547
411488,2025-05-19 18:04:22.756731033,1747677862.756731,-5.014427729086442
415040,2025-05-19 18:06:23.091437578,1747677983.0914376,-5.04047987589965
418592,2025-05-19 18:08:28.063162088,1747678108.063162,-5.033601757105406
422016,2025-05-19 18:10:24.031040907,1747678224.031041,-5.007811073387895
425568,2025-05-19 18:12:26.214601040,1747678346.214601,-5.006954308028694
429088,2025-05-19 18:14:25.431440353,1747678465.4314404,-5.012194612351331
432640,2025-05-19 18:16:25.775581121,1747678585.7755811,-5.020546669358605
436192,2025-05-19 18:18:30.750889778,1747678710.7508898,-5.062573842637174
439616,2025-05-19 18:20:26.716792583,1747678826.7167926,-5.051149274144217
443168,2025-05-19 18:22:28.293231010,1747678948.293231,-5.0143973118550065
446688,2025-05-19 18:24:27.508926868,1747679067.5089269,-5.037142593752254
450240,2025-05-19 18:26:32.619707346,1747679192.6197073,-5.09061941262838
453664,2025-05-19 18:28:29.870342970,1747679309.870343,-5.075352567935658
457184,2025-05-19 18:30:29.126795052,1747679429.126795,-5.081902269341729
460736,2025-05-19 18:32:30.731026173,1747679550.7310262,-5.093336741129558
464256,2025-05-19 18:34:29.934651613,1747679669.9346516,-5.094582350145687
467808,2025-05-19 18:36:33.693484068,1747679793.693484,-5.087770662866197
471264,2025-05-19 18:38:31.981508493,1747679911.9815085,-5.118602528064339
474784,2025-05-19 18:40:31.269820929,1747680031.269821,-5.131674848903309
478336,2025-05-19 18:42:33.376602173,1747680153.3766022,-5.101567477256328
481856,2025-05-19 18:44:36.018835545,1747680276.0188355,-5.096927348050204
485312,2025-05-19 18:46:33.098924637,1747680393.0989246,-5.082213803573891
488864,2025-05-19 18:48:34.671777010,1747680514.671777,-5.095492047769529
492384,2025-05-19 18:50:33.908812523,1747680633.9088125,-5.085025930404663
495936,2025-05-19 18:52:35.494518280,1747680755.4945183,-5.093653833543932
499456,2025-05-19 18:54:38.140048027,1747680878.140048,-5.0684405521913005
