step,walltime,_timestamp,train/tar
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,187.59461874528364
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,192.1857830741189
116224,2025-05-19 15:15:35.537846088,1747667735.537846,196.5664335710031
119776,2025-05-19 15:17:37.521825075,1747667857.521825,200.82955130156097
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,204.63380685286089
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,206.75888534064765
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,208.59953394803134
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,211.52172461262455
137344,2025-05-19 15:27:40.796781063,1747668460.796781,215.1956975590099
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,218.5938897219571
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,221.84485602164054
147840,2025-05-19 15:33:41.403523922,1747668821.403524,225.18566432845927
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,228.2994161554285
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,230.57439039419364
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,232.92381754788485
161984,2025-05-19 15:41:47.782854080,1747669307.782854,235.57736877094615
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,238.15821767076153
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,240.15029754295006
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,241.59059926625844
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,242.38594527638287
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,243.3792297603848
182976,2025-05-19 15:53:46.559751987,1747670026.559752,244.8401998894237
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,247.14605207700987
190080,2025-05-19 15:57:49.351510048,1747670269.35151,250.03687538971772
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,252.94057525287974
197056,2025-05-19 16:01:50.712171078,1747670510.712171,255.87316325858788
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,259.1852031187578
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,262.6341657208967
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,265.98962185833904
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,269.01052065762605
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,271.8081636161448
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,275.11906641179866
221696,2025-05-19 16:15:52.531279802,1747671352.5312798,278.30841652122706
225248,2025-05-19 16:17:57.814453363,1747671477.8144534,281.2182373528008
228672,2025-05-19 16:19:53.873765945,1747671593.873766,282.7583505505713
232224,2025-05-19 16:21:55.888797998,1747671715.888798,283.1584019703908
235744,2025-05-19 16:23:55.148148060,1747671835.148148,283.4734192241322
239296,2025-05-19 16:25:55.525610209,1747671955.5256102,284.7585782918844
242848,2025-05-19 16:28:01.871626377,1747672081.8716264,286.32742161793755
246240,2025-05-19 16:29:56.853270054,1747672196.85327,287.699212668077
249792,2025-05-19 16:31:58.693293095,1747672318.693293,289.9145629470413
253312,2025-05-19 16:33:57.976869822,1747672437.9768698,291.697709794478
256864,2025-05-19 16:36:01.995666742,1747672561.9956667,294.0152546994321
260320,2025-05-19 16:38:00.502874374,1747672680.5028744,296.1006875214753
263840,2025-05-19 16:39:59.766632080,1747672799.766632,297.81769020774146
267360,2025-05-19 16:42:01.122768402,1747672921.1227684,299.79412564364344
270880,2025-05-19 16:44:00.384345055,1747673040.384345,301.0323301141912
274432,2025-05-19 16:46:04.263636588,1747673164.2636366,302.59752857792483
277888,2025-05-19 16:48:02.763467789,1747673282.7634678,304.1971156862047
281408,2025-05-19 16:50:02.047858715,1747673402.0478587,305.80086836381395
284960,2025-05-19 16:52:04.096445322,1747673524.0964453,307.2443050693821
288480,2025-05-19 16:54:03.350425482,1747673643.3504255,308.501538848877
292032,2025-05-19 16:56:07.289979696,1747673767.2899797,309.9065006015537
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,311.05813341942905
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,311.9800823905251
302528,2025-05-19 17:02:06.410092115,1747674126.410092,313.27323494301186
306048,2025-05-19 17:04:09.200087786,1747674249.2000878,314.48287776600233
309504,2025-05-19 17:06:06.319726944,1747674366.319727,315.634649877195
313056,2025-05-19 17:08:08.077250481,1747674488.0772505,316.55356278290617
316576,2025-05-19 17:10:07.358102560,1747674607.3581026,317.48772406144576
320128,2025-05-19 17:12:09.690521717,1747674729.6905217,318.38095556723107
323648,2025-05-19 17:14:12.459861517,1747674852.4598615,319.41090701710095
327104,2025-05-19 17:16:09.551645041,1747674969.551645,320.1463743492409
330656,2025-05-19 17:18:11.330963850,1747675091.3309639,321.1875124407244
334176,2025-05-19 17:20:10.592103243,1747675210.5921032,322.31920394897463
337728,2025-05-19 17:22:16.142609119,1747675336.1426091,323.20302258740674
341152,2025-05-19 17:24:12.267472029,1747675452.267472,324.1588890218289
344704,2025-05-19 17:26:12.752267361,1747675572.7522674,324.89211709649715
348224,2025-05-19 17:28:14.091207743,1747675694.0912077,325.53466287092726
351744,2025-05-19 17:30:13.436766386,1747675813.4367664,326.22465241172097
355296,2025-05-19 17:32:18.734192371,1747675938.7341924,327.13205574654245
358720,2025-05-19 17:34:14.732593298,1747676054.7325933,327.764467578068
362272,2025-05-19 17:36:15.103837729,1747676175.1038377,328.54461539328634
365824,2025-05-19 17:38:16.821981192,1747676296.8219812,329.2302977759559
369344,2025-05-19 17:40:19.597247839,1747676419.5972478,329.87940094687724
372768,2025-05-19 17:42:17.485610008,1747676537.48561,330.6531319306276
376288,2025-05-19 17:44:16.778774738,1747676656.7787747,331.45611346851695
379840,2025-05-19 17:46:17.218710423,1747676777.2187104,331.61208013586094
383392,2025-05-19 17:48:18.946798801,1747676898.9467988,331.8471083426261
386912,2025-05-19 17:50:21.725440741,1747677021.7254407,332.2534917311235
390368,2025-05-19 17:52:20.159259319,1747677140.1592593,332.4874115343447
393888,2025-05-19 17:54:19.630604744,1747677259.6306047,332.87002123052423
397440,2025-05-19 17:56:20.014700890,1747677380.014701,333.6360993943773
400992,2025-05-19 17:58:25.774995804,1747677505.7749958,334.58075294838295
404416,2025-05-19 18:00:21.915855408,1747677621.9158554,335.1760920943501
407968,2025-05-19 18:02:23.547632456,1747677743.5476325,335.72920532913895
411488,2025-05-19 18:04:22.756731033,1747677862.756731,336.5225799560547
415040,2025-05-19 18:06:23.091437578,1747677983.0914376,337.6461898185111
418592,2025-05-19 18:08:28.063162088,1747678108.063162,338.8400267180022
422016,2025-05-19 18:10:24.031040907,1747678224.031041,339.7272300363701
425568,2025-05-19 18:12:26.214601040,1747678346.214601,340.648565378275
429088,2025-05-19 18:14:25.431440353,1747678465.4314404,341.5580255681818
432640,2025-05-19 18:16:25.775581121,1747678585.7755811,342.3114321940654
436192,2025-05-19 18:18:30.750889778,1747678710.7508898,342.7657883446496
439616,2025-05-19 18:20:26.716792583,1747678826.7167926,343.442120953141
443168,2025-05-19 18:22:28.293231010,1747678948.293231,344.405142775527
446688,2025-05-19 18:24:27.508926868,1747679067.5089269,345.2827389457009
450240,2025-05-19 18:26:32.619707346,1747679192.6197073,346.3046777742403
453664,2025-05-19 18:28:29.870342970,1747679309.870343,347.2145748316685
457184,2025-05-19 18:30:29.126795052,1747679429.126795,347.84256695834074
460736,2025-05-19 18:32:30.731026173,1747679550.7310262,348.67415055283556
464256,2025-05-19 18:34:29.934651613,1747679669.9346516,349.60644916187636
467808,2025-05-19 18:36:33.693484068,1747679793.693484,350.2430140521075
471264,2025-05-19 18:38:31.981508493,1747679911.9815085,351.1515424516466
474784,2025-05-19 18:40:31.269820929,1747680031.269821,351.88496950322934
478336,2025-05-19 18:42:33.376602173,1747680153.3766022,352.4759402232127
481856,2025-05-19 18:44:36.018835545,1747680276.0188355,353.1762536829168
485312,2025-05-19 18:46:33.098924637,1747680393.0989246,353.84774176279706
488864,2025-05-19 18:48:34.671777010,1747680514.671777,354.5505172454559
492384,2025-05-19 18:50:33.908812523,1747680633.9088125,355.2571392059326
495936,2025-05-19 18:52:35.494518280,1747680755.4945183,355.86715931935356
499456,2025-05-19 18:54:38.140048027,1747680878.140048,356.3232493313876
