step,walltime,_timestamp,train/loss/value
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,5.192359588037316
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,2.128628673854175
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,1.5904171188940872
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,1.345344155887577
21408,2025-05-19 14:21:22.528584956,1747664482.528585,1.1530156604669712
24928,2025-05-19 14:23:21.808706999,1747664601.808707,1.100897432592782
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,0.9773162828238161
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,1.0322370734404434
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,0.9357353334061124
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,0.7956696108535484
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,1.0954331715675918
46048,2025-05-19 14:35:24.900423050,1747665324.900423,0.7122318370452335
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,1.1157249918392114
53024,2025-05-19 14:39:26.302659988,1747665566.30266,0.6851399346629036
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,1.1630359130149537
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,0.6974541956728155
63616,2025-05-19 14:45:27.449976921,1747665927.449977,0.9002563660746222
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,1.263370768980937
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,0.8452299408052327
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,0.5617179614869324
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,0.8494159346277064
81184,2025-05-19 14:55:33.495652914,1747666533.495653,1.244645933310191
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,1.0194451026270324
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,0.6333125952631236
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,1.076512452382762
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,1.2473303781314329
98752,2025-05-19 15:05:35.956784010,1747667135.956784,0.9019019907793483
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,0.5999479605988772
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,0.721113909510049
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,1.0229518696665765
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,1.2432398201389747
116224,2025-05-19 15:15:35.537846088,1747667735.537846,1.2854930643958073
119776,2025-05-19 15:17:37.521825075,1747667857.521825,1.1637517217177529
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,0.8938182429833845
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,0.6585703114937017
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,0.5732922981747172
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,0.6198021433557626
137344,2025-05-19 15:27:40.796781063,1747668460.796781,0.7773098594085737
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,0.9715144221078266
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,1.1390463976978182
147840,2025-05-19 15:33:41.403523922,1747668821.403524,1.251126124201534
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,1.2956469749008213
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,1.288760578444412
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,1.2437834486365318
161984,2025-05-19 15:41:47.782854080,1747669307.782854,1.1487863181666895
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,1.0019944345700407
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,0.8422163711474823
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,0.6989273740029013
