step,walltime,_timestamp,train/loss/image
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,208.57246992221246
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,69.02153458895984
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,50.24359188853084
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,42.4717286011883
21408,2025-05-19 14:21:22.528584956,1747664482.528585,39.09158662954966
24928,2025-05-19 14:23:21.808706999,1747664601.808707,36.032692248171024
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,32.834882517118714
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,30.943921438130467
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,29.68793351650238
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,28.330043075261294
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,27.38833827755668
46048,2025-05-19 14:35:24.900423050,1747665324.900423,26.50629746376931
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,25.875107552554155
53024,2025-05-19 14:39:26.302659988,1747665566.30266,25.47539561708397
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,24.615223771875556
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,23.883968073671515
63616,2025-05-19 14:45:27.449976921,1747665927.449977,23.182444252409375
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,22.950078745146055
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,22.416359053467804
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,21.91188593812891
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,21.217162870277058
81184,2025-05-19 14:55:33.495652914,1747666533.495653,20.836218752302564
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,20.668282546729685
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,20.15391417199915
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,19.826039347562705
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,19.426367729360408
98752,2025-05-19 15:05:35.956784010,1747667135.956784,19.24313250210908
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,19.09566973094587
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,18.607429359175942
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,18.2814964316108
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,17.8975032416257
116224,2025-05-19 15:15:35.537846088,1747667735.537846,17.896655714070356
119776,2025-05-19 15:17:37.521825075,1747667857.521825,17.44854451192392
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,17.040682869607753
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,16.57442272246421
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,16.532282221317292
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,16.604697242931085
137344,2025-05-19 15:27:40.796781063,1747668460.796781,16.2982124209404
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,15.955895346944983
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,15.596913819914466
147840,2025-05-19 15:33:41.403523922,1747668821.403524,15.606340489654897
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,15.420815313184583
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,15.25979133554407
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,14.9084073565223
161984,2025-05-19 15:41:47.782854080,1747669307.782854,14.740843014283614
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,14.698088473248704
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,14.531464789364788
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,14.191533661103463
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,14.067919456630673
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,14.038792808850607
182976,2025-05-19 15:53:46.559751987,1747670026.559752,13.93609866026406
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,13.674666345656455
190080,2025-05-19 15:57:49.351510048,1747670269.35151,13.533817977518648
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,13.266242085803638
197056,2025-05-19 16:01:50.712171078,1747670510.712171,13.258919453179395
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,13.07661564133384
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,12.874555270951074
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,12.668069104890566
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,12.69634076573632
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,12.611325570356065
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,12.365269727056676
221696,2025-05-19 16:15:52.531279802,1747671352.5312798,12.339983855281865
225248,2025-05-19 16:17:57.814453363,1747671477.8144534,12.168959495183584
228672,2025-05-19 16:19:53.873765945,1747671593.873766,12.221737486179745
232224,2025-05-19 16:21:55.888797998,1747671715.888798,12.102436151590434
235744,2025-05-19 16:23:55.148148060,1747671835.148148,11.951247206601229
239296,2025-05-19 16:25:55.525610209,1747671955.5256102,11.82812104676221
242848,2025-05-19 16:28:01.871626377,1747672081.8716264,11.75008717313543
246240,2025-05-19 16:29:56.853270054,1747672196.85327,11.796034697091804
249792,2025-05-19 16:31:58.693293095,1747672318.693293,11.612479543900704
253312,2025-05-19 16:33:57.976869822,1747672437.9768698,11.559069430828094
256864,2025-05-19 16:36:01.995666742,1747672561.9956667,11.614575874698055
260320,2025-05-19 16:38:00.502874374,1747672680.5028744,11.602524388719488
263840,2025-05-19 16:39:59.766632080,1747672799.766632,11.526917238668961
267360,2025-05-19 16:42:01.122768402,1747672921.1227684,11.42024242769588
