step,walltime,_timestamp,train/loss/con
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,0.05818347778180256
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,0.02061606042280055
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,0.020533824484241573
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,0.020499699033152696
21408,2025-05-19 14:21:22.528584956,1747664482.528585,0.020478262527224917
24928,2025-05-19 14:23:21.808706999,1747664601.808707,0.02046469168060205
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,0.02045673585018596
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,0.020451669498685408
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,0.020448734412308444
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,0.020446432407307265
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,0.020444764751432972
46048,2025-05-19 14:35:24.900423050,1747665324.900423,0.020443575886741013
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,0.020442730424137
53024,2025-05-19 14:39:26.302659988,1747665566.30266,0.02044213820840711
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,0.02044167012526569
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,0.02044132643125274
63616,2025-05-19 14:45:27.449976921,1747665927.449977,0.020441085446273554
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,0.020440921946722375
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,0.02044080726512409
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,0.02044072531599988
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,0.020440674577416343
81184,2025-05-19 14:55:33.495652914,1747666533.495653,0.020440642596096605
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,0.020440629217773676
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,0.02044062214183875
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,0.020440617452484666
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,0.02044061808846891
98752,2025-05-19 15:05:35.956784010,1747667135.956784,0.020440614337588217
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,0.020440612602720246
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,0.02044062181587585
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,0.020440612028522247
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,0.020440610963851212
116224,2025-05-19 15:15:35.537846088,1747667735.537846,0.020440611324307544
119776,2025-05-19 15:17:37.521825075,1747667857.521825,0.0204406124644552
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,0.020440612580965866
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,0.02044061135483889
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,0.02044061178087511
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,0.020440610440413433
137344,2025-05-19 15:27:40.796781063,1747668460.796781,0.02044061006216163
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,0.02044061044527387
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,0.02044061015292935
147840,2025-05-19 15:33:41.403523922,1747668821.403524,0.02044061032585173
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,0.020440610530492558
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,0.02044061054727314
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,0.020440610172227026
161984,2025-05-19 15:41:47.782854080,1747669307.782854,0.020440610284409064
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,0.020440609844958532
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,0.02044061032702794
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,0.02044061036478426
