step,walltime,_timestamp,train/ret_max
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,0.2775196473465499
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,1.8791147395968437
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,2.235169967955297
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,1.8147581970301745
21408,2025-05-19 14:21:22.528584956,1747664482.528585,1.8599036058617964
24928,2025-05-19 14:23:21.808706999,1747664601.808707,1.7694754653356293
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,1.6565072659973625
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,1.6238125974481756
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,1.5850130311467432
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,1.5250930243896113
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,1.5022846388545903
46048,2025-05-19 14:35:24.900423050,1747665324.900423,1.4618931346916937
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,1.4203292207943428
53024,2025-05-19 14:39:26.302659988,1747665566.30266,1.474550488535489
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,1.369603086466139
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,1.3239736871285872
63616,2025-05-19 14:45:27.449976921,1747665927.449977,1.3183553648424577
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,1.3019732840963312
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,1.2597795192081973
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,1.278009852579048
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,1.2557668255134062
81184,2025-05-19 14:55:33.495652914,1747666533.495653,1.302555208807593
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,1.2816384490405288
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,1.3070260060104457
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,1.2534573092922434
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,1.2304050331765954
98752,2025-05-19 15:05:35.956784010,1747667135.956784,1.2035552734458768
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,1.2297771084639761
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,1.1897696523503825
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,1.1834176921031692
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,1.1792539137330922
116224,2025-05-19 15:15:35.537846088,1747667735.537846,1.1701242076577965
119776,2025-05-19 15:17:37.521825075,1747667857.521825,1.1516619336766165
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,1.1247698026624593
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,1.1275123183254723
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,1.142835699970072
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,1.13147874093718
137344,2025-05-19 15:27:40.796781063,1747668460.796781,1.126302702657201
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,1.1188566266813063
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,1.1207422381183048
147840,2025-05-19 15:33:41.403523922,1747668821.403524,1.116182232850066
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,1.1066384182588473
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,1.0959053377847414
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,1.1017461016774177
161984,2025-05-19 15:41:47.782854080,1747669307.782854,1.101511645723473
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,1.0929975618268841
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,1.0800239608899966
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,1.0723366679640505
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,1.105463889213877
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,1.1204546338937305
182976,2025-05-19 15:53:46.559751987,1747670026.559752,1.102355409935813
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,1.10925401183399
190080,2025-05-19 15:57:49.351510048,1747670269.35151,1.107136108920918
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,1.1068255433304743
197056,2025-05-19 16:01:50.712171078,1747670510.712171,1.1084598907166057
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,1.1056034754623065
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,1.1062827581489407
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,1.100461206591881
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,1.0956341300498356
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,1.0930909274198184
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,1.0882206504995173
221696,2025-05-19 16:15:52.531279802,1747671352.5312798,1.0823835499651797
225248,2025-05-19 16:17:57.814453363,1747671477.8144534,1.0716545098536723
228672,2025-05-19 16:19:53.873765945,1747671593.873766,1.053140218152064
232224,2025-05-19 16:21:55.888797998,1747671715.888798,1.0677887939655029
235744,2025-05-19 16:23:55.148148060,1747671835.148148,1.1212662476030264
239296,2025-05-19 16:25:55.525610209,1747671955.5256102,1.158869079909883
242848,2025-05-19 16:28:01.871626377,1747672081.8716264,1.0884413648027558
246240,2025-05-19 16:29:56.853270054,1747672196.85327,1.099268608990143
249792,2025-05-19 16:31:58.693293095,1747672318.693293,1.0852061187898792
253312,2025-05-19 16:33:57.976869822,1747672437.9768698,1.081520121950995
256864,2025-05-19 16:36:01.995666742,1747672561.9956667,1.0845987992109478
260320,2025-05-19 16:38:00.502874374,1747672680.5028744,1.07997987240001
263840,2025-05-19 16:39:59.766632080,1747672799.766632,1.0817904998632994
