step,walltime,_timestamp,train/loss/rep
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,9.303600850013586
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,8.416401999490756
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,8.046945404362035
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,7.638932704925537
21408,2025-05-19 14:21:22.528584956,1747664482.528585,7.498810785788077
24928,2025-05-19 14:23:21.808706999,1747664601.808707,7.459228033911098
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,7.103917568653554
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,7.2007857761599805
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,7.308551475676623
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,7.277767972261818
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,7.43114753799005
46048,2025-05-19 14:35:24.900423050,1747665324.900423,7.4538270718342545
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,7.627313302443908
53024,2025-05-19 14:39:26.302659988,1747665566.30266,7.772423326969147
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,7.801006947322326
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,7.913795840740204
63616,2025-05-19 14:45:27.449976921,1747665927.449977,7.992679213081394
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,8.155232438633034
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,8.130463252090058
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,8.171271576000764
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,8.130090356414968
81184,2025-05-19 14:55:33.495652914,1747666533.495653,8.20879548680675
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,8.371577772024636
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,8.40517462275245
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,8.524872160709656
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,8.516882851448926
98752,2025-05-19 15:05:35.956784010,1747667135.956784,8.619562126494742
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,8.691100102883798
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,8.605833981253884
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,8.66072585203431
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,8.612376286224885
116224,2025-05-19 15:15:35.537846088,1747667735.537846,8.760632346073786
119776,2025-05-19 15:17:37.521825075,1747667857.521825,8.61118001766033
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,8.590723812580109
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,8.510211469353857
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,8.568386694518002
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,8.73012380026005
137344,2025-05-19 15:27:40.796781063,1747668460.796781,8.652341986244375
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,8.550177400220525
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,8.466094323106715
147840,2025-05-19 15:33:41.403523922,1747668821.403524,8.617769825681348
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,8.56799070899551
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,8.580422850342485
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,8.480125330794941
161984,2025-05-19 15:41:47.782854080,1747669307.782854,8.574506698955188
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,8.599556714574867
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,8.528933346808493
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,8.547316425555461
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,8.556008280964072
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,8.532932364725852
182976,2025-05-19 15:53:46.559751987,1747670026.559752,8.533286675671551
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,8.474645302102372
190080,2025-05-19 15:57:49.351510048,1747670269.35151,8.421973499628875
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,8.366969679702413
197056,2025-05-19 16:01:50.712171078,1747670510.712171,8.4200442245713
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,8.354017931222916
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,8.275633295377096
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,8.267971164471394
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,8.33097392320633
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,8.281679746146514
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,8.170915179902858
221696,2025-05-19 16:15:52.531279802,1747671352.5312798,8.21393691419481
225248,2025-05-19 16:17:57.814453363,1747671477.8144534,8.196689608934763
228672,2025-05-19 16:19:53.873765945,1747671593.873766,8.29611445754488
232224,2025-05-19 16:21:55.888797998,1747671715.888798,8.264145452696997
235744,2025-05-19 16:23:55.148148060,1747671835.148148,8.143195065585049
239296,2025-05-19 16:25:55.525610209,1747671955.5256102,8.192217127696887
242848,2025-05-19 16:28:01.871626377,1747672081.8716264,8.174811531294573
246240,2025-05-19 16:29:56.853270054,1747672196.85327,8.150188398248744
249792,2025-05-19 16:31:58.693293095,1747672318.693293,8.146428111974183
253312,2025-05-19 16:33:57.976869822,1747672437.9768698,8.120187202366916
256864,2025-05-19 16:36:01.995666742,1747672561.9956667,8.156284558343458
260320,2025-05-19 16:38:00.502874374,1747672680.5028744,8.208941887926173
263840,2025-05-19 16:39:59.766632080,1747672799.766632,8.14832472042604
267360,2025-05-19 16:42:01.122768402,1747672921.1227684,8.165878419984471
