step,walltime,_timestamp,train/dyn_ent
11040,2025-05-08 08:53:14.815202475,1746694394.8152025,64.10906328473773
18496,2025-05-08 08:55:24.519916057,1746694524.519916,45.00314187184935
25344,2025-05-08 08:57:17.165134668,1746694637.1651347,42.441324532589064
32672,2025-05-08 08:59:19.287846088,1746694759.287846,41.52640911793605
39872,2025-05-08 09:01:25.668124914,1746694885.668125,40.9980017958747
46688,2025-05-08 09:03:16.235276937,1746694996.235277,40.72106244082742
54112,2025-05-08 09:05:21.886284828,1746695121.8862848,40.51672386300975
61088,2025-05-08 09:07:22.533917188,1746695242.5339172,40.36139732325842
68128,2025-05-08 09:09:20.314417601,1746695360.3144176,40.32621738043699
75328,2025-05-08 09:11:18.406467438,1746695478.4064674,40.30985058254666
82656,2025-05-08 09:13:20.728505611,1746695600.7285056,40.34539542135713
89856,2025-05-08 09:15:17.489231348,1746695717.4892313,40.43706378089057
97248,2025-05-08 09:17:29.633993626,1746695849.6339936,40.47946743118815
103936,2025-05-08 09:19:18.022055864,1746695958.0220559,40.544697448967746
111296,2025-05-08 09:21:25.282309771,1746696085.2823098,40.70687518741774
118272,2025-05-08 09:23:21.941403389,1746696201.9414034,40.810979574098496
125472,2025-05-08 09:25:18.558314323,1746696318.5583143,40.95809826744927
132896,2025-05-08 09:27:26.266873360,1746696446.2668734,41.05226657924981
139840,2025-05-08 09:29:19.157450676,1746696559.1574507,41.194591739760014
147232,2025-05-08 09:31:27.624482632,1746696687.6244826,41.282727293121866
154112,2025-05-08 09:33:19.468652487,1746696799.4686525,41.39539004481116
161536,2025-05-08 09:35:36.082275152,1746696936.0822752,41.56058622639755
167840,2025-05-08 09:37:21.281805038,1746697041.281805,41.71907548129861
175200,2025-05-08 09:39:20.604915857,1746697160.6049159,41.88519907619642
182592,2025-05-08 09:41:27.146132946,1746697287.146133,42.080387955620175
189600,2025-05-08 09:43:21.007849932,1746697401.00785,42.255834422699394
196992,2025-05-08 09:45:27.875180721,1746697527.8751807,42.47126312792559
203968,2025-05-08 09:47:22.604894161,1746697642.6048942,42.686923490751774
211296,2025-05-08 09:49:24.854585171,1746697764.8545852,42.90966690679825
218432,2025-05-08 09:51:26.515920877,1746697886.5159209,43.18033144613018
225568,2025-05-08 09:53:25.670805454,1746698005.6708055,43.328497835338915
232768,2025-05-08 09:55:22.428510904,1746698122.428511,43.59370750639174
240192,2025-05-08 09:57:25.452435493,1746698245.4524355,43.82145408515272
247424,2025-05-08 09:59:26.165159941,1746698366.16516,44.03949397222131
254624,2025-05-08 10:01:24.120095491,1746698484.1200955,44.20695823881361
261952,2025-05-08 10:03:26.771742582,1746698606.7717426,44.35954531832033
269152,2025-05-08 10:05:23.836585999,1746698723.836586,44.55282423443264
276480,2025-05-08 10:07:33.210857868,1746698853.2108579,44.708943783456064
283328,2025-05-08 10:09:24.301791191,1746698964.3017912,44.91572955612824
290752,2025-05-08 10:11:31.211064816,1746699091.2110648,45.048680264374305
297760,2025-05-08 10:13:24.965611696,1746699204.9656117,45.27739859498255
305184,2025-05-08 10:15:35.973476648,1746699335.9734766,45.43834203481674
311936,2025-05-08 10:17:27.152903080,1746699447.152903,45.54274570772433
319264,2025-05-08 10:19:25.872934580,1746699565.8729346,45.68828442003009
326592,2025-05-08 10:21:51.394050121,1746699711.3940501,45.81935668303977
332448,2025-05-08 10:23:26.357064962,1746699806.357065,45.904740716590254
339872,2025-05-08 10:25:36.821751118,1746699936.821751,46.10795915537867
346656,2025-05-08 10:27:32.782682896,1746700052.782683,46.2134345050128
353728,2025-05-08 10:29:30.752668619,1746700170.7526686,46.336255008818334
360928,2025-05-08 10:31:28.642021418,1746700288.6420214,46.484211196899416
368288,2025-05-08 10:33:27.953658104,1746700407.953658,46.60433916630952
375680,2025-05-08 10:35:33.375169992,1746700533.37517,46.73278313384944
382656,2025-05-08 10:37:29.172171116,1746700649.172171,46.86908651054452
390016,2025-05-08 10:39:31.859255314,1746700771.8592553,46.98077648618947
397216,2025-05-08 10:41:29.620758533,1746700889.6207585,47.10258688820733
404544,2025-05-08 10:43:31.980406761,1746701011.9804068,47.19101265111865
411744,2025-05-08 10:45:28.789913177,1746701128.7899132,47.31199908998278
419136,2025-05-08 10:47:37.662892103,1746701257.662892,47.45016514171254
425984,2025-05-08 10:49:28.951423883,1746701368.951424,47.53844027652919
433312,2025-05-08 10:51:37.375135183,1746701497.3751352,47.63979961361947
440192,2025-05-08 10:53:29.445631504,1746701609.4456315,47.805219852092655
447616,2025-05-08 10:55:29.875992060,1746701729.875992,47.83044840344067
455040,2025-05-08 10:57:36.396228790,1746701856.3962288,47.98805619930399
462080,2025-05-08 10:59:30.556415558,1746701970.5564156,48.053928485783665
469472,2025-05-08 11:01:39.286769152,1746702099.2867692,48.14708404830008
476352,2025-05-08 11:03:30.912544966,1746702210.912545,48.25490016050117
483776,2025-05-08 11:05:37.837658882,1746702337.837659,48.35628702722747
490720,2025-05-08 11:07:32.807611942,1746702452.807612,48.48906490659933
498080,2025-05-08 11:09:35.553162575,1746702575.5531626,48.53163071300673
