step,walltime,_timestamp,train/loss/velocity
11040,2025-05-08 08:53:14.815202475,1746694394.8152025,10.787185208176687
18496,2025-05-08 08:55:24.519916057,1746694524.519916,3.2912272680470873
25344,2025-05-08 08:57:17.165134668,1746694637.1651347,2.4291940353741155
32672,2025-05-08 08:59:19.287846088,1746694759.287846,1.9950635092877924
39872,2025-05-08 09:01:25.668124914,1746694885.668125,1.7802759718232686
46688,2025-05-08 09:03:16.235276937,1746694996.235277,1.6154318838052346
54112,2025-05-08 09:05:21.886284828,1746695121.8862848,1.5341519116713056
61088,2025-05-08 09:07:22.533917188,1746695242.5339172,1.4370706131972304
68128,2025-05-08 09:09:20.314417601,1746695360.3144176,1.3848700263283469
75328,2025-05-08 09:11:18.406467438,1746695478.4064674,1.3179980635643005
82656,2025-05-08 09:13:20.728505611,1746695600.7285056,1.2559911174675262
89856,2025-05-08 09:15:17.489231348,1746695717.4892313,1.2256857814060318
97248,2025-05-08 09:17:29.633993626,1746695849.6339936,1.1728786936763562
103936,2025-05-08 09:19:18.022055864,1746695958.0220559,1.1469223583429053
111296,2025-05-08 09:21:25.282309771,1746696085.2823098,1.1006527838823588
118272,2025-05-08 09:23:21.941403389,1746696201.9414034,1.0775319328275295
125472,2025-05-08 09:25:18.558314323,1746696318.5583143,1.0460203614499834
132896,2025-05-08 09:27:26.266873360,1746696446.2668734,1.0213234677011598
139840,2025-05-08 09:29:19.157450676,1746696559.1574507,0.9946955263545986
147232,2025-05-08 09:31:27.624482632,1746696687.6244826,0.9673016662527989
154112,2025-05-08 09:33:19.468652487,1746696799.4686525,0.9403913740155309
161536,2025-05-08 09:35:36.082275152,1746696936.0822752,0.9095441498954234
167840,2025-05-08 09:37:21.281805038,1746697041.281805,0.8990272580064492
175200,2025-05-08 09:39:20.604915857,1746697160.6049159,0.8699122198573921
182592,2025-05-08 09:41:27.146132946,1746697287.146133,0.8546914832094015
189600,2025-05-08 09:43:21.007849932,1746697401.00785,0.825495897634933
196992,2025-05-08 09:45:27.875180721,1746697527.8751807,0.8067575562503431
203968,2025-05-08 09:47:22.604894161,1746697642.6048942,0.7933813921355326
211296,2025-05-08 09:49:24.854585171,1746697764.8545852,0.7773642839953369
218432,2025-05-08 09:51:26.515920877,1746697886.5159209,0.7822136257194617
225568,2025-05-08 09:53:25.670805454,1746698005.6708055,0.7589635811579067
232768,2025-05-08 09:55:22.428510904,1746698122.428511,0.7567112491528193
240192,2025-05-08 09:57:25.452435493,1746698245.4524355,0.7322470900313608
247424,2025-05-08 09:59:26.165159941,1746698366.16516,0.7340683298168984
254624,2025-05-08 10:01:24.120095491,1746698484.1200955,0.713205127550496
261952,2025-05-08 10:03:26.771742582,1746698606.7717426,0.7054759749744136
269152,2025-05-08 10:05:23.836585999,1746698723.836586,0.6911903429693645
276480,2025-05-08 10:07:33.210857868,1746698853.2108579,0.6875184944883704
283328,2025-05-08 10:09:24.301791191,1746698964.3017912,0.6777497262946356
290752,2025-05-08 10:11:31.211064816,1746699091.2110648,0.6628494466943987
297760,2025-05-08 10:13:24.965611696,1746699204.9656117,0.6602211216269018
305184,2025-05-08 10:15:35.973476648,1746699335.9734766,0.6504162857951276
311936,2025-05-08 10:17:27.152903080,1746699447.152903,0.6446597504813524
319264,2025-05-08 10:19:25.872934580,1746699565.8729346,0.6261897562763056
326592,2025-05-08 10:21:51.394050121,1746699711.3940501,0.6248351009033913
332448,2025-05-08 10:23:26.357064962,1746699806.357065,0.6151915983872009
339872,2025-05-08 10:25:36.821751118,1746699936.821751,0.6088804885070642
346656,2025-05-08 10:27:32.782682896,1746700052.782683,0.6058881679057794
353728,2025-05-08 10:29:30.752668619,1746700170.7526686,0.5932959299281712
360928,2025-05-08 10:31:28.642021418,1746700288.6420214,0.5903333789772458
368288,2025-05-08 10:33:27.953658104,1746700407.953658,0.5764443321558445
375680,2025-05-08 10:35:33.375169992,1746700533.37517,0.5745510935654372
382656,2025-05-08 10:37:29.172171116,1746700649.172171,0.5588457677513361
390016,2025-05-08 10:39:31.859255314,1746700771.8592553,0.55830657882211
397216,2025-05-08 10:41:29.620758533,1746700889.6207585,0.5463063765731123
404544,2025-05-08 10:43:31.980406761,1746701011.9804068,0.5438109025619436
411744,2025-05-08 10:45:28.789913177,1746701128.7899132,0.5354556049737665
419136,2025-05-08 10:47:37.662892103,1746701257.662892,0.5230964994888543
425984,2025-05-08 10:49:28.951423883,1746701368.951424,0.5167448144301633
433312,2025-05-08 10:51:37.375135183,1746701497.3751352,0.5077934233740168
440192,2025-05-08 10:53:29.445631504,1746701609.4456315,0.5064309863850128
447616,2025-05-08 10:55:29.875992060,1746701729.875992,0.49734705943485785
455040,2025-05-08 10:57:36.396228790,1746701856.3962288,0.49367112910439226
462080,2025-05-08 10:59:30.556415558,1746701970.5564156,0.49048407880420036
469472,2025-05-08 11:01:39.286769152,1746702099.2867692,0.48254391428454096
476352,2025-05-08 11:03:30.912544966,1746702210.912545,0.4773269492526387
483776,2025-05-08 11:05:37.837658882,1746702337.837659,0.4739478075202426
490720,2025-05-08 11:07:32.807611942,1746702452.807612,0.4693609787503146
498080,2025-05-08 11:09:35.553162575,1746702575.5531626,0.46278468205229095
