step,walltime,_timestamp,train/opt/grad_norm
11040,2025-05-08 08:53:14.815202475,1746694394.8152025,808.2948299750755
18496,2025-05-08 08:55:24.519916057,1746694524.519916,189.2500506716225
25344,2025-05-08 08:57:17.165134668,1746694637.1651347,213.28467394926838
32672,2025-05-08 08:59:19.287846088,1746694759.287846,221.72449998147624
39872,2025-05-08 09:01:25.668124914,1746694885.668125,224.31118704054091
46688,2025-05-08 09:03:16.235276937,1746694996.235277,225.10877728350286
54112,2025-05-08 09:05:21.886284828,1746695121.8862848,227.18993870143234
61088,2025-05-08 09:07:22.533917188,1746695242.5339172,224.54218119875006
68128,2025-05-08 09:09:20.314417601,1746695360.3144176,226.08986030058426
75328,2025-05-08 09:11:18.406467438,1746695478.4064674,220.81159086439345
82656,2025-05-08 09:13:20.728505611,1746695600.7285056,218.31128167897853
89856,2025-05-08 09:15:17.489231348,1746695717.4892313,213.89508392333985
97248,2025-05-08 09:17:29.633993626,1746695849.6339936,211.24501608150862
103936,2025-05-08 09:19:18.022055864,1746695958.0220559,208.18955974487596
111296,2025-05-08 09:21:25.282309771,1746696085.2823098,204.70182383993398
118272,2025-05-08 09:23:21.941403389,1746696201.9414034,199.04925586980417
125472,2025-05-08 09:25:18.558314323,1746696318.5583143,194.72399809095594
132896,2025-05-08 09:27:26.266873360,1746696446.2668734,192.7888656566883
139840,2025-05-08 09:29:19.157450676,1746696559.1574507,188.79306170907438
147232,2025-05-08 09:31:27.624482632,1746696687.6244826,187.16281640684448
154112,2025-05-08 09:33:19.468652487,1746696799.4686525,183.37360200216605
161536,2025-05-08 09:35:36.082275152,1746696936.0822752,179.29197826056645
167840,2025-05-08 09:37:21.281805038,1746697041.281805,176.01013160357016
175200,2025-05-08 09:39:20.604915857,1746697160.6049159,175.55482347737188
182592,2025-05-08 09:41:27.146132946,1746697287.146133,170.93187987752808
189600,2025-05-08 09:43:21.007849932,1746697401.00785,167.08368884918352
196992,2025-05-08 09:45:27.875180721,1746697527.8751807,163.12186541288963
203968,2025-05-08 09:47:22.604894161,1746697642.6048942,162.54087145831608
211296,2025-05-08 09:49:24.854585171,1746697764.8545852,159.68890528699717
218432,2025-05-08 09:51:26.515920877,1746697886.5159209,155.06122920545226
225568,2025-05-08 09:53:25.670805454,1746698005.6708055,152.57903705049523
232768,2025-05-08 09:55:22.428510904,1746698122.428511,151.92343388027615
240192,2025-05-08 09:57:25.452435493,1746698245.4524355,147.43497757665043
247424,2025-05-08 09:59:26.165159941,1746698366.16516,146.9011922684391
254624,2025-05-08 10:01:24.120095491,1746698484.1200955,143.41207267337376
261952,2025-05-08 10:03:26.771742582,1746698606.7717426,141.35625320334623
269152,2025-05-08 10:05:23.836585999,1746698723.836586,138.55157643212212
276480,2025-05-08 10:07:33.210857868,1746698853.2108579,138.03768424488052
283328,2025-05-08 10:09:24.301791191,1746698964.3017912,135.26978069376722
290752,2025-05-08 10:11:31.211064816,1746699091.2110648,132.74211204463037
297760,2025-05-08 10:13:24.965611696,1746699204.9656117,131.467338261539
305184,2025-05-08 10:15:35.973476648,1746699335.9734766,129.2909969132522
311936,2025-05-08 10:17:27.152903080,1746699447.152903,129.17214004010387
319264,2025-05-08 10:19:25.872934580,1746699565.8729346,126.14133293035249
326592,2025-05-08 10:21:51.394050121,1746699711.3940501,125.23729085297563
332448,2025-05-08 10:23:26.357064962,1746699806.357065,121.99995082584235
339872,2025-05-08 10:25:36.821751118,1746699936.821751,122.90381668353903
346656,2025-05-08 10:27:32.782682896,1746700052.782683,119.99813745156774
353728,2025-05-08 10:29:30.752668619,1746700170.7526686,119.39084594174209
360928,2025-05-08 10:31:28.642021418,1746700288.6420214,116.92548813290067
368288,2025-05-08 10:33:27.953658104,1746700407.953658,115.29742834257043
375680,2025-05-08 10:35:33.375169992,1746700533.37517,114.86451329400529
382656,2025-05-08 10:37:29.172171116,1746700649.172171,111.83376321005166
390016,2025-05-08 10:39:31.859255314,1746700771.8592553,112.36154975476472
397216,2025-05-08 10:41:29.620758533,1746700889.6207585,110.90750197516547
404544,2025-05-08 10:43:31.980406761,1746701011.9804068,109.16899686921631
411744,2025-05-08 10:45:28.789913177,1746701128.7899132,107.59435548570421
419136,2025-05-08 10:47:37.662892103,1746701257.662892,106.37499664769028
425984,2025-05-08 10:49:28.951423883,1746701368.951424,105.14678285277893
433312,2025-05-08 10:51:37.375135183,1746701497.3751352,104.79311447060265
440192,2025-05-08 10:53:29.445631504,1746701609.4456315,104.16427601659021
447616,2025-05-08 10:55:29.875992060,1746701729.875992,102.51995512534832
455040,2025-05-08 10:57:36.396228790,1746701856.3962288,102.79137601523564
462080,2025-05-08 10:59:30.556415558,1746701970.5564156,100.02339445460926
469472,2025-05-08 11:01:39.286769152,1746702099.2867692,100.8934321300292
476352,2025-05-08 11:03:30.912544966,1746702210.912545,97.19266477629196
483776,2025-05-08 11:05:37.837658882,1746702337.837659,97.25709599462049
490720,2025-05-08 11:07:32.807611942,1746702452.807612,96.83054240617884
498080,2025-05-08 11:09:35.553162575,1746702575.5531626,96.18820118282152
