step,walltime,_timestamp,train/loss/image
11040,2025-05-08 08:53:14.815202475,1746694394.8152025,141.8648002246558
18496,2025-05-08 08:55:24.519916057,1746694524.519916,48.483612005291064
25344,2025-05-08 08:57:17.165134668,1746694637.1651347,38.16094080310002
32672,2025-05-08 08:59:19.287846088,1746694759.287846,33.01087225160224
39872,2025-05-08 09:01:25.668124914,1746694885.668125,29.982091910044353
46688,2025-05-08 09:03:16.235276937,1746694996.235277,27.756379143173145
54112,2025-05-08 09:05:21.886284828,1746695121.8862848,26.420358613647263
61088,2025-05-08 09:07:22.533917188,1746695242.5339172,24.98565685420955
68128,2025-05-08 09:09:20.314417601,1746695360.3144176,24.105144955895163
75328,2025-05-08 09:11:18.406467438,1746695478.4064674,23.168659116956924
82656,2025-05-08 09:13:20.728505611,1746695600.7285056,22.16448494024152
89856,2025-05-08 09:15:17.489231348,1746695717.4892313,21.595684900283814
97248,2025-05-08 09:17:29.633993626,1746695849.6339936,20.753853840229315
103936,2025-05-08 09:19:18.022055864,1746695958.0220559,20.24573432657707
111296,2025-05-08 09:21:25.282309771,1746696085.2823098,19.489905616511468
118272,2025-05-08 09:23:21.941403389,1746696201.9414034,19.05737326779497
125472,2025-05-08 09:25:18.558314323,1746696318.5583143,18.49289303885566
132896,2025-05-08 09:27:26.266873360,1746696446.2668734,18.04794327143965
139840,2025-05-08 09:29:19.157450676,1746696559.1574507,17.55165947582315
147232,2025-05-08 09:31:27.624482632,1746696687.6244826,17.090107470363765
154112,2025-05-08 09:33:19.468652487,1746696799.4686525,16.61933690226355
161536,2025-05-08 09:35:36.082275152,1746696936.0822752,16.120248275070356
167840,2025-05-08 09:37:21.281805038,1746697041.281805,15.829351863280166
175200,2025-05-08 09:39:20.604915857,1746697160.6049159,15.337188515974129
182592,2025-05-08 09:41:27.146132946,1746697287.146133,15.040480295301
189600,2025-05-08 09:43:21.007849932,1746697401.00785,14.620441155346562
196992,2025-05-08 09:45:27.875180721,1746697527.8751807,14.276216282472982
203968,2025-05-08 09:47:22.604894161,1746697642.6048942,13.992307134724538
211296,2025-05-08 09:49:24.854585171,1746697764.8545852,13.701285055110548
218432,2025-05-08 09:51:26.515920877,1746697886.5159209,13.599782838949707
225568,2025-05-08 09:53:25.670805454,1746698005.6708055,13.276905518476203
232768,2025-05-08 09:55:22.428510904,1746698122.428511,13.122399304707844
240192,2025-05-08 09:57:25.452435493,1746698245.4524355,12.80823452102727
247424,2025-05-08 09:59:26.165159941,1746698366.16516,12.70103638309293
254624,2025-05-08 10:01:24.120095491,1746698484.1200955,12.43071813583374
261952,2025-05-08 10:03:26.771742582,1746698606.7717426,12.27508839092921
269152,2025-05-08 10:05:23.836585999,1746698723.836586,12.03986026816898
276480,2025-05-08 10:07:33.210857868,1746698853.2108579,11.94832188645825
283328,2025-05-08 10:09:24.301791191,1746698964.3017912,11.79493112151868
290752,2025-05-08 10:11:31.211064816,1746699091.2110648,11.567105070784175
297760,2025-05-08 10:13:24.965611696,1746699204.9656117,11.413928688388982
305184,2025-05-08 10:15:35.973476648,1746699335.9734766,11.295293869129543
311936,2025-05-08 10:17:27.152903080,1746699447.152903,11.196018130858363
319264,2025-05-08 10:19:25.872934580,1746699565.8729346,10.967495366996031
326592,2025-05-08 10:21:51.394050121,1746699711.3940501,10.879127033412717
332448,2025-05-08 10:23:26.357064962,1746699806.357065,10.729167469212266
339872,2025-05-08 10:25:36.821751118,1746699936.821751,10.586953150301143
346656,2025-05-08 10:27:32.782682896,1746700052.782683,10.515293619542751
353728,2025-05-08 10:29:30.752668619,1746700170.7526686,10.351620758820443
360928,2025-05-08 10:31:28.642021418,1746700288.6420214,10.293516251246134
368288,2025-05-08 10:33:27.953658104,1746700407.953658,10.103591949784237
375680,2025-05-08 10:35:33.375169992,1746700533.37517,10.044906863402495
382656,2025-05-08 10:37:29.172171116,1746700649.172171,9.855965831957826
390016,2025-05-08 10:39:31.859255314,1746700771.8592553,9.802323334113412
397216,2025-05-08 10:41:29.620758533,1746700889.6207585,9.660259521272447
404544,2025-05-08 10:43:31.980406761,1746701011.9804068,9.611785091687498
411744,2025-05-08 10:45:28.789913177,1746701128.7899132,9.522087295585209
419136,2025-05-08 10:47:37.662892103,1746701257.662892,9.362885926192973
425984,2025-05-08 10:49:28.951423883,1746701368.951424,9.263065858979092
433312,2025-05-08 10:51:37.375135183,1746701497.3751352,9.165392570620542
440192,2025-05-08 10:53:29.445631504,1746701609.4456315,9.094431177405424
447616,2025-05-08 10:55:29.875992060,1746701729.875992,8.999638616267976
455040,2025-05-08 10:57:36.396228790,1746701856.3962288,8.922203248174027
462080,2025-05-08 10:59:30.556415558,1746701970.5564156,8.865915296836333
469472,2025-05-08 11:01:39.286769152,1746702099.2867692,8.77971527509359
476352,2025-05-08 11:03:30.912544966,1746702210.912545,8.653437549291654
483776,2025-05-08 11:05:37.837658882,1746702337.837659,8.600636682119863
490720,2025-05-08 11:07:32.807611942,1746702452.807612,8.5330557246362
498080,2025-05-08 11:09:35.553162575,1746702575.5531626,8.458209527575452
