step,walltime,_timestamp,train/rew
11040,2025-05-08 08:53:14.815202475,1746694394.8152025,0.04590438696778697
18496,2025-05-08 08:55:24.519916057,1746694524.519916,0.14079906094755354
25344,2025-05-08 08:57:17.165134668,1746694637.1651347,0.17913194622182957
32672,2025-05-08 08:59:19.287846088,1746694759.287846,0.20122553682255692
39872,2025-05-08 09:01:25.668124914,1746694885.668125,0.22178066672550306
46688,2025-05-08 09:03:16.235276937,1746694996.235277,0.23407599784678695
54112,2025-05-08 09:05:21.886284828,1746695121.8862848,0.253806073804675
61088,2025-05-08 09:07:22.533917188,1746695242.5339172,0.2705671315619705
68128,2025-05-08 09:09:20.314417601,1746695360.3144176,0.2884268622506749
75328,2025-05-08 09:11:18.406467438,1746695478.4064674,0.29521511184672516
82656,2025-05-08 09:13:20.728505611,1746695600.7285056,0.31068705101233124
89856,2025-05-08 09:15:17.489231348,1746695717.4892313,0.3230238110654884
97248,2025-05-08 09:17:29.633993626,1746695849.6339936,0.3428691490452527
103936,2025-05-08 09:19:18.022055864,1746695958.0220559,0.35263935182439654
111296,2025-05-08 09:21:25.282309771,1746696085.2823098,0.3734329729786386
118272,2025-05-08 09:23:21.941403389,1746696201.9414034,0.39030026569278964
125472,2025-05-08 09:25:18.558314323,1746696318.5583143,0.4095648491382599
132896,2025-05-08 09:27:26.266873360,1746696446.2668734,0.42730529314099713
139840,2025-05-08 09:29:19.157450676,1746696559.1574507,0.44900184195093845
147232,2025-05-08 09:31:27.624482632,1746696687.6244826,0.4642431372494409
154112,2025-05-08 09:33:19.468652487,1746696799.4686525,0.49046785973532253
161536,2025-05-08 09:35:36.082275152,1746696936.0822752,0.515561879869422
167840,2025-05-08 09:37:21.281805038,1746697041.281805,0.5368329888483897
175200,2025-05-08 09:39:20.604915857,1746697160.6049159,0.565391787805635
182592,2025-05-08 09:41:27.146132946,1746697287.146133,0.5863307251461914
189600,2025-05-08 09:43:21.007849932,1746697401.00785,0.6061764697301878
196992,2025-05-08 09:45:27.875180721,1746697527.8751807,0.627066742854588
203968,2025-05-08 09:47:22.604894161,1746697642.6048942,0.6445311096351628
211296,2025-05-08 09:49:24.854585171,1746697764.8545852,0.6636599113749885
218432,2025-05-08 09:51:26.515920877,1746697886.5159209,0.6787063309864345
225568,2025-05-08 09:53:25.670805454,1746698005.6708055,0.6934046669625114
232768,2025-05-08 09:55:22.428510904,1746698122.428511,0.7073937491410308
240192,2025-05-08 09:57:25.452435493,1746698245.4524355,0.7280720966257925
247424,2025-05-08 09:59:26.165159941,1746698366.16516,0.7437605379825145
254624,2025-05-08 10:01:24.120095491,1746698484.1200955,0.7623185995883411
261952,2025-05-08 10:03:26.771742582,1746698606.7717426,0.7711513667452804
269152,2025-05-08 10:05:23.836585999,1746698723.836586,0.7895790617995792
276480,2025-05-08 10:07:33.210857868,1746698853.2108579,0.8031475665007096
283328,2025-05-08 10:09:24.301791191,1746698964.3017912,0.8194142107930139
290752,2025-05-08 10:11:31.211064816,1746699091.2110648,0.8402771374917236
297760,2025-05-08 10:13:24.965611696,1746699204.9656117,0.8555529176780622
305184,2025-05-08 10:15:35.973476648,1746699335.9734766,0.8654160351845724
311936,2025-05-08 10:17:27.152903080,1746699447.152903,0.8758710253436418
319264,2025-05-08 10:19:25.872934580,1746699565.8729346,0.8966665674635417
326592,2025-05-08 10:21:51.394050121,1746699711.3940501,0.9071655982706744
332448,2025-05-08 10:23:26.357064962,1746699806.357065,0.9165581413875512
339872,2025-05-08 10:25:36.821751118,1746699936.821751,0.9300995106840956
346656,2025-05-08 10:27:32.782682896,1746700052.782683,0.9372797596075062
353728,2025-05-08 10:29:30.752668619,1746700170.7526686,0.9467045876842278
360928,2025-05-08 10:31:28.642021418,1746700288.6420214,0.9538120612833235
368288,2025-05-08 10:33:27.953658104,1746700407.953658,0.9697441662783208
375680,2025-05-08 10:35:33.375169992,1746700533.37517,0.9795436933959202
382656,2025-05-08 10:37:29.172171116,1746700649.172171,0.9897361719006792
390016,2025-05-08 10:39:31.859255314,1746700771.8592553,0.9981717892315076
397216,2025-05-08 10:41:29.620758533,1746700889.6207585,1.007668717900912
404544,2025-05-08 10:43:31.980406761,1746701011.9804068,1.0137349148179247
411744,2025-05-08 10:45:28.789913177,1746701128.7899132,1.017501291135947
419136,2025-05-08 10:47:37.662892103,1746701257.662892,1.032744837820014
425984,2025-05-08 10:49:28.951423883,1746701368.951424,1.042869532985665
433312,2025-05-08 10:51:37.375135183,1746701497.3751352,1.0502241454920915
440192,2025-05-08 10:53:29.445631504,1746701609.4456315,1.0618300853427067
447616,2025-05-08 10:55:29.875992060,1746701729.875992,1.0668563044726336
455040,2025-05-08 10:57:36.396228790,1746701856.3962288,1.0762049558026523
462080,2025-05-08 10:59:30.556415558,1746701970.5564156,1.0831103750927882
469472,2025-05-08 11:01:39.286769152,1746702099.2867692,1.0888937344347245
476352,2025-05-08 11:03:30.912544966,1746702210.912545,1.0989405059883761
483776,2025-05-08 11:05:37.837658882,1746702337.837659,1.104656162222141
490720,2025-05-08 11:07:32.807611942,1746702452.807612,1.114438575465009
498080,2025-05-08 11:09:35.553162575,1746702575.5531626,1.1176317866405716
